GHG reduction( Mt CO2eq ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),1.064633e-03,3.182250e-04,8.228595e-04,9.316018e-04,9.059509e-04,6.075795e-04,3.621654e-03,3.901477e-04,1.174061e-03,2.467682e-01,1.064587e-03,1.191382e-03,1.088933e-03,1.412776e-03,8.378150e-04,9.660817e-04,9.874521e-04,6.123923e-04,3.574627e-03,3.929406e-04,1.168198e-03,2.414629e-01,1.079803e-03,1.242860e-03
South Korea,3.442534e+00,2.923441e+00,2.765225e+00,2.237568e+00,1.785128e+00,1.785798e+00,8.730155e-01,8.728074e-01,8.902180e-01,1.868440e+00,2.891374e+00,2.271391e+00,5.210706e+00,4.498618e+00,4.218157e+00,3.487858e+00,2.820749e+00,2.821392e+00,1.572200e+00,1.562501e+00,1.570831e+00,2.924547e+00,4.488282e+00,3.481161e+00
Japan,3.088810e+01,2.749777e+01,3.105228e+01,2.608194e+01,2.757102e+01,2.757154e+01,3.170586e+01,2.557249e+01,2.187499e+01,2.190719e+01,3.871868e+01,2.969819e+01,3.090945e+01,2.752109e+01,3.106287e+01,2.609300e+01,2.757162e+01,2.757203e+01,3.170696e+01,2.557314e+01,2.187506e+01,2.190775e+01,3.874109e+01,2.969980e+01
Singapore,1.068072e+01,9.551197e+00,9.475648e+00,8.228481e+00,7.453603e+00,7.457686e+00,6.911171e+00,6.390617e+00,5.876633e+00,8.797493e+00,1.167265e+01,1.086199e+01,1.078714e+01,9.653341e+00,9.569663e+00,8.312603e+00,7.522078e+00,7.525856e+00,6.975070e+00,6.450810e+00,5.933046e+00,8.856337e+00,1.178686e+01,1.093651e+01
Hong Kong,1.276156e+00,8.694540e-01,1.354217e+00,7.892327e-01,9.474561e-01,9.482042e-01,4.056830e-01,3.968032e-01,3.957784e-01,6.923775e-01,1.278035e+00,1.174962e+00,1.276652e+00,8.715554e-01,1.354583e+00,7.894056e-01,9.478171e-01,9.484996e-01,4.057601e-01,3.968895e-01,3.957922e-01,6.921959e-01,1.278466e+00,1.175417e+00
Taiwan,2.790744e+00,2.531702e+00,2.725183e+00,2.262627e+00,2.289303e+00,2.289627e+00,1.918632e+00,1.897975e+00,1.879047e+00,2.933002e+00,2.828928e+00,3.156086e+00,2.882439e+00,2.625661e+00,2.764702e+00,2.305322e+00,2.280694e+00,2.280902e+00,1.910276e+00,1.888805e+00,1.869053e+00,2.926602e+00,2.922299e+00,3.158192e+00
Rest of East Asia,1.284654e-01,1.080041e-01,6.894061e-02,8.724401e-02,3.654183e-02,3.278484e-02,7.597068e-02,1.440669e-02,3.477313e-02,5.695766e-02,9.587056e-02,4.432793e-02,5.838078e-02,6.593234e-02,3.325663e-02,4.237965e-02,2.598718e-02,1.982528e-02,6.974770e-02,1.022396e-02,2.897864e-02,4.565245e-02,4.467940e-02,3.126160e-02
Thailand,1.385581e+01,1.125787e+01,1.394728e+01,1.063816e+01,1.124989e+01,1.124967e+01,1.155652e+01,9.549556e+00,7.710846e+00,7.713003e+00,1.688365e+01,1.225452e+01,1.385659e+01,1.126236e+01,1.394786e+01,1.063871e+01,1.125059e+01,1.125014e+01,1.155682e+01,9.549927e+00,7.717234e+00,7.713251e+00,1.688553e+01,1.225577e+01
Indonesia,5.203438e+01,4.466974e+01,4.332588e+01,3.564114e+01,2.917025e+01,2.917104e+01,2.625385e+01,2.253536e+01,1.920209e+01,1.931716e+01,5.744896e+01,3.165334e+01,5.209205e+01,4.472553e+01,4.335934e+01,3.566969e+01,2.916467e+01,2.916534e+01,2.624678e+01,2.252946e+01,1.919600e+01,1.931112e+01,5.750814e+01,3.164884e+01
Malaysia,2.116838e+01,1.861327e+01,1.882598e+01,1.610544e+01,1.467058e+01,1.467090e+01,1.246377e+01,1.164949e+01,1.120351e+01,1.199476e+01,2.111429e+01,1.537456e+01,2.126610e+01,1.870672e+01,1.889420e+01,1.616527e+01,1.468909e+01,1.468931e+01,1.248284e+01,1.166672e+01,1.121879e+01,1.201016e+01,2.121636e+01,1.539518e+01
