 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),8.973431e-06,2.562002e-06,6.803609e-06,7.663440e-06,2.105804e-05,7.341204e-06,2.720535e-05,3.091972e-06,9.162556e-06,1.789580e-03,8.931724e-06,9.806021e-06,9.123946e-06,1.179392e-05,6.942978e-06,7.962372e-06,7.371785e-06,7.460095e-06,2.682570e-05,3.113193e-06,9.106780e-06,1.754282e-03,9.039763e-06,1.021812e-05
South Korea,4.443203e-01,4.249580e-01,3.790974e-01,3.604528e-01,3.436402e-01,2.985831e-01,2.534164e-01,2.531798e-01,2.540272e-01,3.791421e-01,4.043864e-01,3.931469e-01,6.368108e-01,6.101674e-01,5.431265e-01,5.170093e-01,4.914821e-01,4.290588e-01,3.674386e-01,3.667033e-01,3.670628e-01,5.399048e-01,5.840089e-01,5.581431e-01
Japan,3.564894e+00,3.429409e+00,3.571436e+00,3.358586e+00,3.565609e+00,3.365131e+00,3.601931e+00,3.338920e+00,3.180879e+00,3.184669e+00,3.900038e+00,3.522981e+00,3.565454e+00,3.430034e+00,3.571717e+00,3.358878e+00,3.565595e+00,3.365145e+00,3.601961e+00,3.338940e+00,3.180884e+00,3.184681e+00,3.900625e+00,3.523027e+00
Singapore,5.247805e+00,4.937917e+00,4.885028e+00,4.509789e+00,4.657382e+00,4.190954e+00,4.559853e+00,4.177414e+00,3.801275e+00,5.055937e+00,5.979197e+00,5.948627e+00,5.273212e+00,4.962072e+00,4.907327e+00,4.529722e+00,4.674802e+00,4.206185e+00,4.574538e+00,4.191266e+00,3.814259e+00,5.069533e+00,6.006425e+00,5.965922e+00
Hong Kong,1.187725e+00,9.308370e-01,1.223108e+00,9.173540e-01,1.223839e+00,8.904863e-01,7.004379e-01,6.943393e-01,6.932740e-01,8.572329e-01,1.188895e+00,1.087224e+00,1.188056e+00,9.321584e-01,1.223378e+00,9.174781e-01,1.223316e+00,8.907069e-01,7.005100e-01,6.944117e-01,6.932950e-01,8.571819e-01,1.189194e+00,1.087549e+00
Taiwan,1.154419e+00,1.149306e+00,1.180294e+00,1.123608e+00,1.167997e+00,1.149680e+00,1.147071e+00,1.143316e+00,1.140594e+00,1.739725e+00,1.160270e+00,1.709486e+00,1.170915e+00,1.166040e+00,1.189920e+00,1.133467e+00,1.171158e+00,1.152698e+00,1.148921e+00,1.145066e+00,1.142221e+00,1.741413e+00,1.177008e+00,1.715341e+00
Rest of East Asia,1.789235e-01,1.621349e-01,9.031641e-02,1.284705e-01,7.872206e-02,4.297940e-02,6.047522e-02,1.586075e-02,3.546010e-02,6.411918e-02,1.088675e-01,4.604507e-02,7.540241e-02,8.676181e-02,3.852510e-02,5.804774e-02,2.490494e-02,2.361508e-02,5.085340e-02,8.350947e-03,2.480013e-02,4.501173e-02,4.435574e-02,2.534730e-02
Thailand,4.609837e+00,4.490306e+00,4.595070e+00,4.388397e+00,4.557232e+00,4.373694e+00,4.615982e+00,4.397741e+00,4.197924e+00,4.198614e+00,4.938076e+00,4.545718e+00,4.610036e+00,4.491007e+00,4.595235e+00,4.388558e+00,4.556835e+00,4.373829e+00,4.616092e+00,4.397863e+00,4.198303e+00,4.198749e+00,4.938395e+00,4.545985e+00
Indonesia,7.221652e+00,7.148938e+00,6.770147e+00,6.658634e+00,6.502049e+00,6.269410e+00,7.372044e+00,6.681133e+00,6.061100e+00,6.072963e+00,8.230981e+00,6.847045e+00,7.225147e+00,7.152479e+00,6.772309e+00,6.660547e+00,6.501841e+00,6.269417e+00,7.371801e+00,6.681128e+00,6.061079e+00,6.072960e+00,8.234674e+00,6.847262e+00
Malaysia,5.768238e+00,5.492329e+00,5.291466e+00,4.951113e+00,5.059082e+00,4.583142e+00,4.711313e+00,4.356975e+00,4.155236e+00,4.390912e+00,5.778651e+00,4.934999e+00,5.784626e+00,5.508168e+00,5.302249e+00,4.960511e+00,5.060200e+00,4.584426e+00,4.712646e+00,4.358212e+00,4.156336e+00,4.392026e+00,5.795394e+00,4.936519e+00
