PM2.5 reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),7.445013e-06,2.154011e-06,5.861795e-06,7.010405e-06,1.852621e-05,6.911916e-06,2.382041e-05,3.072970e-06,8.046765e-06,2.028717e-03,7.510961e-06,8.733023e-06,7.738842e-06,1.044095e-05,5.953016e-06,7.269568e-06,6.408872e-06,7.013249e-06,2.350215e-05,3.103163e-06,7.996198e-06,1.991030e-03,7.684890e-06,9.261158e-06
South Korea,2.202810e-01,1.995038e-01,1.748575e-01,1.491426e-01,1.574920e-01,1.133841e-01,6.882737e-02,6.869379e-02,6.965705e-02,1.437484e-01,1.952126e-01,1.584699e-01,3.350747e-01,3.063386e-01,2.659642e-01,2.303561e-01,2.367824e-01,1.756126e-01,1.150149e-01,1.143679e-01,1.148415e-01,2.215923e-01,3.023822e-01,2.377937e-01
Japan,2.139791e+00,2.048334e+00,2.146126e+00,1.988274e+00,2.141822e+00,1.994613e+00,2.011228e+00,1.917625e+00,1.861383e+00,1.863706e+00,2.258202e+00,2.084166e+00,2.140428e+00,2.049032e+00,2.146444e+00,1.988605e+00,2.141803e+00,1.994626e+00,2.011263e+00,1.917645e+00,1.861386e+00,1.863722e+00,2.258870e+00,2.084215e+00
Singapore,6.576567e+00,4.623472e+00,6.200842e+00,4.183253e+00,5.961200e+00,3.853842e+00,1.933809e+00,1.862137e+00,1.792098e+00,3.383027e+00,6.710734e+00,5.650169e+00,6.603549e+00,4.649147e+00,6.224782e+00,4.204645e+00,5.980087e+00,3.870533e+00,1.949915e+00,1.877312e+00,1.806322e+00,3.397867e+00,6.739695e+00,5.669038e+00
Hong Kong,8.548197e-01,5.012353e-01,8.814450e-01,4.736687e-01,8.821999e-01,4.709495e-01,1.343266e-01,1.265005e-01,1.247383e-01,2.960019e-01,8.564512e-01,6.420720e-01,8.550865e-01,5.024131e-01,8.816213e-01,4.737805e-01,8.815944e-01,4.711012e-01,1.344213e-01,1.265732e-01,1.247442e-01,2.959488e-01,8.566733e-01,6.422829e-01
Taiwan,5.005460e-01,4.667060e-01,5.098002e-01,4.225550e-01,4.914056e-01,4.318735e-01,3.847828e-01,3.820027e-01,3.797852e-01,7.170730e-01,5.051298e-01,7.276818e-01,5.121235e-01,4.785464e-01,5.153193e-01,4.283741e-01,4.910536e-01,4.316369e-01,3.843554e-01,3.814796e-01,3.791638e-01,7.167191e-01,5.169100e-01,7.301488e-01
Rest of East Asia,2.136870e-01,1.954489e-01,1.083525e-01,1.526544e-01,8.865750e-02,4.967894e-02,5.314920e-02,1.447058e-02,3.931647e-02,7.107440e-02,1.027715e-01,4.187445e-02,8.958085e-02,1.028271e-01,4.571316e-02,6.877479e-02,2.800706e-02,2.670883e-02,4.351723e-02,7.028538e-03,2.680015e-02,4.893291e-02,4.013932e-02,2.135576e-02
Thailand,2.398976e+00,2.144464e+00,2.406737e+00,2.053047e+00,2.388169e+00,2.060871e+00,2.016164e+00,1.874248e+00,1.744580e+00,1.745715e+00,2.612216e+00,2.204813e+00,2.399095e+00,2.145047e+00,2.406834e+00,2.053140e+00,2.387723e+00,2.060943e+00,2.016211e+00,1.874303e+00,1.745034e+00,1.745771e+00,2.612413e+00,2.204966e+00
Indonesia,6.700000e+00,6.300000e+00,6.300000e+00,5.900000e+00,6.100000e+00,5.586973e+00,5.888555e+00,5.452360e+00,5.061218e+00,5.076414e+00,7.300000e+00,6,6.716205e+00,6.311261e+00,6.300000e+00,5.900000e+00,6.100000e+00,5.586952e+00,5.888371e+00,5.452326e+00,5.061169e+00,5.076381e+00,7.353192e+00,6.002755e+00
Malaysia,3.854367e+00,3.360789e+00,3.375355e+00,2.834924e+00,3.108131e+00,2.458299e+00,1.898210e+00,1.862435e+00,1.844310e+00,2.100912e+00,3.847591e+00,2.801909e+00,3.869444e+00,3.375518e+00,3.385249e+00,2.843627e+00,3.108854e+00,2.459399e+00,1.899372e+00,1.863494e+00,1.845267e+00,2.101862e+00,3.863009e+00,2.803205e+00
