PM2.5 reduction( Mt ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),5.110169e-07,1.478488e-07,4.023467e-07,4.811859e-07,4.583404e-07,3.232337e-07,1.635005e-06,2.109250e-07,5.523205e-07,1.392487e-04,5.155435e-07,5.994244e-07,5.311850e-07,7.166546e-07,4.086080e-07,4.989746e-07,4.987098e-07,3.267393e-07,1.613160e-06,2.129974e-07,5.488496e-07,1.366620e-04,5.274818e-07,6.356749e-07
South Korea,3.909088e-04,3.540378e-04,3.103006e-04,2.646671e-04,2.125935e-04,2.126649e-04,1.221404e-04,1.219034e-04,1.236128e-04,2.550947e-04,3.464226e-04,2.812192e-04,5.946206e-04,5.436258e-04,4.719777e-04,4.087879e-04,3.281277e-04,3.281952e-04,2.041045e-04,2.029562e-04,2.037967e-04,3.932357e-04,5.366048e-04,4.219866e-04
Japan,5.067941e-03,4.851332e-03,5.082946e-03,4.709085e-03,4.856039e-03,4.856090e-03,4.763450e-03,4.541756e-03,4.408551e-03,4.414054e-03,5.348390e-03,4.936198e-03,5.069450e-03,4.852985e-03,5.083698e-03,4.709868e-03,4.856088e-03,4.856132e-03,4.763531e-03,4.541805e-03,4.408560e-03,4.414091e-03,5.349972e-03,4.936314e-03
Singapore,3.594727e-03,2.527173e-03,3.389358e-03,2.286551e-03,2.183848e-03,2.184122e-03,1.057013e-03,1.017837e-03,9.795541e-04,1.849150e-03,3.668062e-03,3.088362e-03,3.609475e-03,2.541207e-03,3.402443e-03,2.298243e-03,2.193309e-03,2.193570e-03,1.065816e-03,1.026132e-03,9.873289e-04,1.857262e-03,3.683893e-03,3.098675e-03
Hong Kong,9.876092e-04,5.790983e-04,1.018371e-03,5.472494e-04,6.098261e-04,6.103577e-04,1.551932e-04,1.461514e-04,1.441155e-04,3.419835e-04,9.894942e-04,7.418129e-04,9.879175e-04,5.804591e-04,1.018574e-03,5.473786e-04,6.100270e-04,6.105133e-04,1.553026e-04,1.462353e-04,1.441222e-04,3.419221e-04,9.897507e-04,7.420565e-04
Taiwan,4.872856e-04,4.543421e-04,4.962946e-04,4.113607e-04,4.451482e-04,4.451626e-04,3.745892e-04,3.718827e-04,3.697240e-04,6.980763e-04,4.917479e-04,7.084041e-04,4.985564e-04,4.658688e-04,5.016675e-04,4.170256e-04,4.452114e-04,4.451995e-04,3.741731e-04,3.713734e-04,3.691190e-04,6.977319e-04,5.032161e-04,7.108058e-04
Rest of East Asia,9.338229e-05,8.541214e-05,4.735057e-05,6.671072e-05,2.336385e-05,2.267730e-05,2.322646e-05,6.323716e-06,1.718149e-05,3.105986e-05,4.491163e-05,1.829934e-05,3.914727e-05,4.493594e-05,1.997688e-05,3.005492e-05,1.225468e-05,1.101928e-05,1.901724e-05,3.071506e-06,1.171180e-05,2.138392e-05,1.754108e-05,9.332573e-06
Thailand,3.231324e-03,2.888506e-03,3.241777e-03,2.765371e-03,2.873479e-03,2.873448e-03,2.715691e-03,2.524537e-03,2.349879e-03,2.351408e-03,3.518549e-03,2.969794e-03,3.231484e-03,2.889292e-03,3.241908e-03,2.765497e-03,2.873632e-03,2.873560e-03,2.715755e-03,2.524611e-03,2.350491e-03,2.351483e-03,3.518814e-03,2.970000e-03
Indonesia,1.825694e-02,1.715524e-02,1.725525e-02,1.605039e-02,1.552524e-02,1.552530e-02,1.601505e-02,1.482874e-02,1.376495e-02,1.380628e-02,1.998896e-02,1.632529e-02,1.826600e-02,1.716468e-02,1.726079e-02,1.605539e-02,1.552527e-02,1.552528e-02,1.601455e-02,1.482864e-02,1.376482e-02,1.380619e-02,1.999841e-02,1.632564e-02
Malaysia,2.916389e-03,2.542926e-03,2.553948e-03,2.145033e-03,1.933879e-03,1.933889e-03,1.436272e-03,1.409203e-03,1.395489e-03,1.589646e-03,2.911263e-03,2.120052e-03,2.927798e-03,2.554071e-03,2.561434e-03,2.151618e-03,1.934764e-03,1.934761e-03,1.437151e-03,1.410005e-03,1.396213e-03,1.590364e-03,2.922929e-03,2.121033e-03
