SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),7.838838e-06,2.434003e-06,6.222015e-06,7.211007e-06,1.879746e-05,7.086011e-06,2.361786e-05,3.178412e-06,8.125434e-06,2.156009e-03,7.897379e-06,9.142720e-06,8.107342e-06,1.070715e-05,6.315280e-06,7.463077e-06,6.744138e-06,7.180673e-06,2.329396e-05,3.204889e-06,8.069309e-06,2.113705e-03,8.048372e-06,9.599826e-06
South Korea,2.519968e-01,2.365661e-01,1.865445e-01,1.709289e-01,1.627599e-01,1.197059e-01,7.501058e-02,7.520712e-02,7.698726e-02,1.725762e-01,2.021416e-01,1.730990e-01,3.982242e-01,3.759356e-01,3.006722e-01,2.783260e-01,2.628695e-01,2.018012e-01,1.409426e-01,1.402163e-01,1.411156e-01,2.749682e-01,3.330907e-01,2.757419e-01
Japan,2.121568e+00,2.020809e+00,2.127246e+00,1.959375e+00,2.122134e+00,1.965059e+00,2.154464e+00,1.946395e+00,1.821119e+00,1.823522e+00,2.386498e+00,2.094338e+00,2.122571e+00,2.021894e+00,2.127744e+00,1.959895e+00,2.122108e+00,1.965076e+00,2.154517e+00,1.946426e+00,1.821124e+00,1.823547e+00,2.387551e+00,2.094413e+00
Singapore,3.109076e+00,2.869809e+00,2.742424e+00,2.438389e+00,2.509057e+00,2.116739e+00,2.805179e+00,2.277030e+00,1.758287e+00,3.100000e+00,4.118565e+00,4.122515e+00,3.139312e+00,2.898292e+00,2.769405e+00,2.462575e+00,2.531201e+00,2.136059e+00,2.823887e+00,2.294668e+00,1.774805e+00,3.100000e+00,4.151133e+00,4.144391e+00
Hong Kong,7.701891e-01,4.421113e-01,7.957207e-01,4.143233e-01,7.964220e-01,4.130569e-01,9.806205e-02,9.074071e-02,8.906984e-02,2.509477e-01,7.716972e-01,5.763212e-01,7.704310e-01,4.432101e-01,7.958821e-01,4.144261e-01,7.958617e-01,4.131951e-01,9.815023e-02,9.080795e-02,8.907442e-02,2.508888e-01,7.718989e-01,5.765233e-01
Taiwan,3.956710e-01,3.598171e-01,4.089753e-01,2.941472e-01,3.861313e-01,3.074919e-01,2.435552e-01,2.408067e-01,2.383861e-01,4.647368e-01,4.006155e-01,5.258476e-01,4.077453e-01,3.722207e-01,4.142697e-01,2.998189e-01,3.848134e-01,3.063797e-01,2.424590e-01,2.396085e-01,2.370810e-01,4.638746e-01,4.129150e-01,5.269755e-01
Rest of East Asia,2.055372e-01,1.887888e-01,1.034489e-01,1.473127e-01,8.338268e-02,4.733996e-02,5.227923e-02,1.425460e-02,3.712914e-02,6.826782e-02,1.028848e-01,4.142936e-02,8.541117e-02,9.854872e-02,4.305055e-02,6.600107e-02,2.591089e-02,2.512211e-02,4.248502e-02,6.731399e-03,2.501663e-02,4.659401e-02,3.960814e-02,2.057794e-02
Thailand,1.664058e+00,1.502632e+00,1.690252e+00,1.378989e+00,1.676230e+00,1.405229e+00,2.051373e+00,1.578900e+00,1.144590e+00,1.145821e+00,2.378536e+00,1.751527e+00,1.664150e+00,1.503017e+00,1.690324e+00,1.379062e+00,1.675946e+00,1.405281e+00,2.051440e+00,1.578971e+00,1.145089e+00,1.145858e+00,2.378910e+00,1.751752e+00
Indonesia,3.343482e+00,3.222303e+00,2.962664e+00,2.764637e+00,2.806402e+00,2.428901e+00,5.232991e+00,3.575276e+00,2.086630e+00,2.105652e+00,5.767194e+00,3.750143e+00,3.346393e+00,3.225227e+00,2.964421e+00,2.766239e+00,2.806269e+00,2.428836e+00,5.232377e+00,3.575217e+00,2.086540e+00,2.105569e+00,5.770557e+00,3.750514e+00
Malaysia,2.928363e+00,2.667596e+00,2.420721e+00,2.095556e+00,2.142986e+00,1.692555e+00,2.029492e+00,1.554793e+00,1.282724e+00,1.529415e+00,2.950121e+00,2.058707e+00,2.943833e+00,2.682406e+00,2.430872e+00,2.104486e+00,2.144056e+00,1.693712e+00,2.030695e+00,1.555917e+00,1.283719e+00,1.530419e+00,2.965931e+00,2.060068e+00
