SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
China (Mainland),2.007544e-06,6.233535e-07,1.593472e-06,1.846755e-06,1.779404e-06,1.258863e-06,6.048586e-06,8.139984e-07,2.080941e-06,5.521587e-04,2.022536e-06,2.341471e-06,2.076308e-06,2.742124e-06,1.617357e-06,1.911310e-06,1.932554e-06,1.270430e-06,5.965633e-06,8.207792e-07,2.066568e-06,5.413245e-04,2.061206e-06,2.458536e-06
South Korea,2.722550e-03,2.555839e-03,2.015409e-03,1.846700e-03,1.375499e-03,1.376250e-03,8.104073e-04,8.125308e-04,8.317632e-04,1.864498e-03,2.183920e-03,1.870146e-03,4.302377e-03,4.061573e-03,3.248435e-03,3.007008e-03,2.303064e-03,2.303808e-03,1.522731e-03,1.514884e-03,1.524600e-03,2.970731e-03,3.598681e-03,2.979089e-03
Japan,3.206550e-02,3.054262e-02,3.215132e-02,2.961410e-02,3.055032e-02,3.055074e-02,3.256269e-02,2.941793e-02,2.752450e-02,2.756081e-02,3.606967e-02,3.165394e-02,3.208066e-02,3.055903e-02,3.215885e-02,2.962196e-02,3.055075e-02,3.055110e-02,3.256349e-02,2.941840e-02,2.752457e-02,2.756120e-02,3.608558e-02,3.165508e-02
Singapore,1.052068e-02,9.711032e-03,9.279980e-03,8.251168e-03,7.640749e-03,7.642757e-03,9.492334e-03,7.705152e-03,5.949797e-03,1.057661e-02,1.393665e-02,1.395001e-02,1.062299e-02,9.807415e-03,9.371279e-03,8.333010e-03,7.708497e-03,7.710435e-03,9.555638e-03,7.764836e-03,6.005692e-03,1.063490e-02,1.404685e-02,1.402404e-02
Hong Kong,3.861999e-03,2.216902e-03,3.990024e-03,2.077563e-03,2.344775e-03,2.346956e-03,4.917176e-04,4.550059e-04,4.466275e-04,1.258340e-03,3.869561e-03,2.889878e-03,3.863212e-03,2.222412e-03,3.990833e-03,2.078078e-03,2.345574e-03,2.347573e-03,4.921598e-04,4.553430e-04,4.466505e-04,1.258045e-03,3.870573e-03,2.890891e-03
Taiwan,3.520574e-03,3.201556e-03,3.638953e-03,2.617243e-03,3.114690e-03,3.114967e-03,2.167089e-03,2.142633e-03,2.121095e-03,4.135103e-03,3.564569e-03,4.678850e-03,3.628008e-03,3.311919e-03,3.686061e-03,2.667708e-03,3.106312e-03,3.106410e-03,2.157335e-03,2.131972e-03,2.109483e-03,4.127431e-03,3.674007e-03,4.688887e-03
Rest of East Asia,5.590256e-04,5.134727e-04,2.813630e-04,4.006649e-04,1.380152e-04,1.346901e-04,1.421905e-04,3.877003e-05,1.009848e-04,1.856766e-04,2.798287e-04,1.126807e-04,2.323036e-04,2.680355e-04,1.170900e-04,1.795115e-04,7.063908e-05,6.437785e-05,1.155519e-04,1.830824e-05,6.804090e-05,1.267276e-04,1.077273e-04,5.596844e-05
Thailand,1.236742e-02,1.116769e-02,1.256210e-02,1.024876e-02,1.125650e-02,1.125635e-02,1.524598e-02,1.173452e-02,8.506689e-03,8.515843e-03,1.767748e-02,1.301750e-02,1.236811e-02,1.117055e-02,1.256263e-02,1.024931e-02,1.125710e-02,1.125682e-02,1.524648e-02,1.173504e-02,8.510400e-03,8.516115e-03,1.768026e-02,1.301917e-02
Indonesia,6.379434e-02,6.148223e-02,5.652827e-02,5.274986e-02,5.088114e-02,5.088193e-02,9.984659e-02,6.821702e-02,3.981333e-02,4.017629e-02,1.100393e-01,7.155353e-02,6.384988e-02,6.153801e-02,5.656177e-02,5.278042e-02,5.088028e-02,5.088095e-02,9.983486e-02,6.821590e-02,3.981163e-02,4.017470e-02,1.101035e-01,7.156059e-02
Malaysia,1.723848e-02,1.570341e-02,1.425013e-02,1.233597e-02,1.072721e-02,1.072747e-02,1.194707e-02,9.152644e-03,7.551048e-03,9.003252e-03,1.736656e-02,1.211905e-02,1.732955e-02,1.579060e-02,1.430988e-02,1.238854e-02,1.073439e-02,1.073460e-02,1.195415e-02,9.159260e-03,7.556906e-03,9.009165e-03,1.745963e-02,1.212706e-02
Rest of South East Asia,4.085907e-02,3.865764e-02,2.930706e-02,2.681622e-02,1.855038e-02,1.855039e-02,1.810101e-02,1.421868e-02,1.175086e-02,1.319068e-02,4.076216e-02,1.975865e-02,3.728312e-02,3.528364e-02,2.674933e-02,2.448766e-02,1.698563e-02,1.698552e-02,1.510346e-02,1.228826e-02,1.078206e-02,1.216138e-02,3.720132e-02,1.813920e-02
India,6.292110e-02,6.160102e-02,4.984043e-02,4.628443e-02,4.017433e-02,4.017528e-02,3.994436e-01,2.140269e-01,3.049890e-02,3.375252e-02,4.297737e-01,2.258710e-01,6.308958e-02,6.176146e-02,4.996810e-02,4.640091e-02,4.019225e-02,4.019315e-02,3.994554e-01,2.140410e-01,3.051368e-02,3.376707e-02,4.299265e-01,2.258865e-01
Rest of South Asia,3.702639e-02,3.365707e-02,2.484257e-02,2.172363e-02,1.172478e-02,1.172295e-02,3.724814e-02,2.050145e-02,5.346930e-03,6.444992e-03,5.250023e-02,2.316521e-02,3.836821e-02,3.496012e-02,2.558383e-02,2.247805e-02,1.189610e-02,1.189381e-02,3.896660e-02,2.139756e-02,5.434942e-03,6.507097e-03,5.494959e-02,2.408154e-02
Australia,1.278269e-02,1.191446e-02,1.285300e-02,1.134679e-02,1.190980e-02,1.191123e-02,2.178290e-02,1.602111e-02,1.033470e-02,1.133678e-02,2.404794e-02,1.841229e-02,1.282665e-02,1.195780e-02,1.287473e-02,1.137810e-02,1.192815e-02,1.192959e-02,2.180013e-02,1.603801e-02,1.035080e-02,1.135327e-02,2.409448e-02,1.843239e-02
Rest of Oceania,2.512204e-03,2.371105e-03,2.459647e-03,2.153733e-03,2.278040e-03,2.278516e-03,1.817373e-03,1.815809e-03,1.816236e-03,2.341521e-03,2.511494e-03,2.785125e-03,1.102374e-03,1.097495e-03,1.102702e-03,1.005542e-03,1.025473e-03,1.025858e-03,9.246259e-04,9.213671e-04,9.200528e-04,1.193203e-03,1.107539e-03,1.289109e-03
Russia,5.157138e-05,9.810965e-06,3.241323e-05,3.464799e-05,3.426877e-05,2.406618e-05,1.490447e-04,9.796726e-06,4.182002e-05,2.047608e-04,6.118341e-05,1.165603e-04,6.479713e-05,6.838657e-05,3.440423e-05,3.789027e-05,4.050573e-05,2.542992e-05,1.480708e-04,1.067686e-05,4.217877e-05,1.876147e-04,6.554395e-05,1.132988e-04
Rest of FSU,5.664301e-03,4.947174e-03,4.206796e-03,3.374881e-03,3.067967e-03,3.068711e-03,4.963064e-02,2.459281e-02,1.621036e-03,1.778851e-03,5.027657e-02,2.529692e-02,1.032158e-02,9.584062e-03,7.062245e-03,6.372160e-03,4.266411e-03,4.266098e-03,3.915363e-02,1.968288e-02,2.707653e-03,2.780281e-03,4.215815e-02,2.012253e-02
Iran,1.067292e-06,9.546236e-07,8.965314e-07,1.458952e-06,9.014163e-07,1.260380e-06,3.951247e-06,7.965952e-07,1.129176e-06,2.474478e-06,1.092349e-06,2.164821e-06,1.090189e-06,2.376511e-06,8.981795e-07,1.482733e-06,9.621804e-07,1.262105e-06,4.019748e-06,7.986308e-07,1.168651e-06,2.581476e-06,1.095549e-06,2.104194e-06
UAE,9.679495e-03,8.746837e-03,7.979989e-03,7.074891e-03,6.216157e-03,6.216649e-03,4.656019e-03,4.391741e-03,4.402313e-03,5.460768e-03,9.641163e-03,7.226968e-03,9.795689e-03,8.856357e-03,8.066963e-03,7.154206e-03,6.223679e-03,6.224150e-03,4.664014e-03,4.399246e-03,4.409314e-03,5.467702e-03,9.761304e-03,7.234936e-03
