GHG reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),5.423658e-05,1.490812e-05,4.792780e-05,1.285368e-05,5.174086e-05,1.352202e-05,7.100902e-04,1.507134e-03,6.992018e-04,1.635485e-03,7.058064e-04,1.693938e-03,1.069739e-03,1.507560e-03,9.416684e-04,1.445305e-03,7.901344e-04,1.361860e-03,8.152226e-04,1.389055e-03,7.688388e-04,1.507930e-03,7.034268e-04,1.638085e-03,7.105149e-04,1.697533e-03,7.980593e-04,1.494930e-03
South Korea,2.875751e-01,2.872549e-01,4.001989e-01,3.998659e-01,2.268177e-01,2.264265e-01,4.931151e-01,5.310623e-01,4.903406e-01,5.368484e-01,3.773637e-01,4.157155e-01,3.928267e-01,4.015964e-01,7.757940e-01,7.989125e-01,7.528947e-01,7.932749e-01,7.333810e-01,7.915245e-01,7.185910e-01,7.951059e-01,7.072398e-01,7.999148e-01,5.366753e-01,6.002451e-01,5.780966e-01,5.956499e-01
Japan,1.901077e+00,1.901039e+00,2.085112e+00,2.085064e+00,1.751155e+00,1.751050e+00,4.058432e+00,4.105446e+00,4.116366e+00,4.175488e+00,4.091175e+00,4.150524e+00,3.988663e+00,3.997217e+00,4.018166e+00,4.026854e+00,3.998791e+00,4.014146e+00,4.010446e+00,4.044288e+00,4.061453e+00,4.108013e+00,4.119439e+00,4.178588e+00,4.093986e+00,4.153358e+00,3.987493e+00,3.997606e+00
Singapore,2.504020e+00,2.504285e+00,2.720157e+00,2.720415e+00,2.483469e+00,2.483634e+00,5.481312e+00,9.838552e+00,5.553399e+00,1.094678e+01,5.031219e+00,1.047055e+01,4.948125e+00,5.959030e+00,5.483366e+00,6.474709e+00,5.409671e+00,7.548730e+00,5.453891e+00,8.742968e+00,5.498119e+00,9.863616e+00,5.571038e+00,1.097573e+01,5.047290e+00,1.049680e+01,4.950006e+00,5.964953e+00
Hong Kong,1.444666e+00,1.444446e+00,2.092871e+00,2.093430e+00,8.778208e-01,8.778397e-01,1.927496e+00,2.599798e+00,1.960642e+00,2.811782e+00,1.913716e+00,2.771969e+00,1.811565e+00,2.035798e+00,1.859279e+00,2.078653e+00,1.881252e+00,2.223866e+00,1.908537e+00,2.405350e+00,1.932034e+00,2.605533e+00,1.964776e+00,2.819227e+00,1.917703e+00,2.779159e+00,1.809262e+00,2.037391e+00
Taiwan,1.041849e+00,1.041525e+00,1.168469e+00,1.168020e+00,9.323348e-01,9.318959e-01,1.391769e+00,1.497482e+00,1.385251e+00,1.523069e+00,1.405434e+00,1.550725e+00,1.446118e+00,1.483225e+00,1.425883e+00,1.461381e+00,1.412317e+00,1.465527e+00,1.404100e+00,1.479085e+00,1.394632e+00,1.499735e+00,1.387467e+00,1.526881e+00,1.406828e+00,1.553695e+00,1.443771e+00,1.482737e+00
Rest of East Asia,2.324975e-01,1.385029e-01,2.744254e-01,1.870379e-01,2.344077e-01,1.536777e-01,1.304432e+00,3.212256e+00,1.298898e+00,3.187095e+00,1.287458e+00,3.185502e+00,1.411555e+00,3.403978e+00,1.325483e+00,3.369648e+00,1.387982e+00,3.153065e+00,1.503627e+00,3.151144e+00,1.337791e+00,3.215218e+00,1.246958e+00,3.173686e+00,1.267123e+00,3.191508e+00,1.295131e+00,3.385445e+00
Thailand,3.347131e+00,3.346614e+00,3.710320e+00,3.709454e+00,2.435040e+00,2.434235e+00,4.275890e+00,4.464695e+00,4.601945e+00,4.843982e+00,4.585200e+00,4.829026e+00,3.682017e+00,3.703145e+00,3.705946e+00,3.727157e+00,3.714246e+00,3.762873e+00,3.959347e+00,4.094462e+00,4.285882e+00,4.473771e+00,4.612715e+00,4.854733e+00,4.595345e+00,4.840354e+00,3.681527e+00,3.704907e+00
Indonesia,3.123720e+00,3.123768e+00,3.732381e+00,3.732206e+00,2.077268e+00,2.077122e+00,5.744708e+00,5.806330e+00,6.394116e+00,6.471340e+00,6.370864e+00,6.448123e+00,4.026090e+00,4.034999e+00,4.054138e+00,4.063110e+00,4.446964e+00,4.478673e+00,5.097269e+00,5.142826e+00,5.747096e+00,5.808197e+00,6.396767e+00,6.473963e+00,6.373170e+00,6.450435e+00,4.023350e+00,4.033886e+00
Malaysia,4.245603e+00,4.245488e+00,5.035924e+00,5.035220e+00,3.443826e+00,3.443253e+00,24,28,28,3.296794e+01,28,3.298687e+01,11,1.199070e+01,11,1.198879e+01,1.590351e+01,1.753089e+01,20,23,24,28,28,33,28,33,11,12
