GHG reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),7.053368e-04,1.447788e-03,7.132482e-04,1.442849e-03,7.190577e-04,1.412236e-03,8.026894e-04,1.542312e-03,7.128946e-04,1.353849e-03,7.178347e-04,1.473772e-03,7.416949e-04,1.438033e-03,7.109084e-04,1.429019e-03,7.178160e-04,1.432991e-03,7.243482e-04,1.399987e-03,8.062980e-04,1.521767e-03,7.182652e-04,1.341920e-03,7.335143e-04,1.455601e-03,7.478032e-04,1.426429e-03
South Korea,3.028104e-01,3.244936e-01,2.795340e-01,2.929714e-01,2.705058e-01,2.823554e-01,2.902088e-01,3.134048e-01,3.367969e-01,3.555704e-01,2.110396e-01,2.245213e-01,1.986244e-01,2.074363e-01,4.699000e-01,4.907977e-01,4.343816e-01,4.506060e-01,4.180635e-01,4.297637e-01,4.459874e-01,4.684919e-01,5.140701e-01,5.322018e-01,3.344533e-01,3.480703e-01,3.118567e-01,3.209565e-01
Japan,2.850905e+00,2.858537e+00,2.848785e+00,2.856257e+00,2.846645e+00,2.853639e+00,2.581461e+00,2.589027e+00,2.353266e+00,2.359974e+00,2.830040e+00,2.837851e+00,2.825868e+00,2.832947e+00,2.852099e+00,2.859509e+00,2.849601e+00,2.856940e+00,2.847099e+00,2.853935e+00,2.582562e+00,2.589914e+00,2.354426e+00,2.360980e+00,2.831218e+00,2.838719e+00,2.826224e+00,2.833140e+00
Singapore,7.080157e+00,7.266595e+00,6.862985e+00,7.048261e+00,6.726599e+00,6.897583e+00,6.505650e+00,6.692947e+00,6.451811e+00,6.628953e+00,6.498869e+00,6.684177e+00,6.146155e+00,6.316265e+00,7.099539e+00,7.283315e+00,6.878879e+00,7.062644e+00,6.737254e+00,6.906649e+00,6.523011e+00,6.707650e+00,6.470071e+00,6.645623e+00,6.517031e+00,6.699524e+00,6.155635e+00,6.324129e+00
Hong Kong,1.396098e+00,1.540650e+00,1.318557e+00,1.465945e+00,1.246433e+00,1.388086e+00,8.841837e-01,1.031064e+00,1.392524e+00,1.527459e+00,1.351314e+00,1.495269e+00,1.202345e+00,1.343008e+00,1.398389e+00,1.541182e+00,1.320570e+00,1.466982e+00,1.248166e+00,1.389025e+00,8.860009e-01,1.031218e+00,1.394737e+00,1.528761e+00,1.353971e+00,1.495778e+00,1.204109e+00,1.343837e+00
Taiwan,8.735656e-01,8.952269e-01,8.647683e-01,8.859322e-01,8.559067e-01,8.745765e-01,7.649018e-01,7.868844e-01,8.644066e-01,8.822760e-01,8.077634e-01,8.301169e-01,7.906674e-01,8.094787e-01,8.780444e-01,8.989183e-01,8.670871e-01,8.877854e-01,8.561049e-01,8.742701e-01,7.692964e-01,7.908378e-01,8.688128e-01,8.861871e-01,8.122524e-01,8.332733e-01,7.903431e-01,8.086328e-01
Rest of East Asia,1.810050e+00,2.794547e+00,1.750742e+00,2.743896e+00,1.734086e+00,2.842225e+00,1.843671e+00,2.816863e+00,1.825070e+00,2.680627e+00,1.773411e+00,2.801972e+00,1.730807e+00,2.849526e+00,1.732729e+00,2.741051e+00,1.709257e+00,2.802385e+00,1.728796e+00,2.828431e+00,1.762693e+00,2.766731e+00,1.753617e+00,2.634435e+00,1.725863e+00,2.743922e+00,1.724032e+00,2.832338e+00
Thailand,2.707775e+00,2.724517e+00,2.722935e+00,2.739486e+00,2.738029e+00,2.752788e+00,2.258666e+00,2.289360e+00,2.428533e+00,2.435804e+00,2.690761e+00,2.708013e+00,2.721337e+00,2.736299e+00,2.709748e+00,2.725764e+00,2.724774e+00,2.740893e+00,2.739789e+00,2.754064e+00,2.262982e+00,2.293561e+00,2.430445e+00,2.437369e+00,2.692792e+00,2.709017e+00,2.722855e+00,2.737328e+00
Indonesia,5.753383e+00,5.782794e+00,4.860533e+00,4.889169e+00,4.271291e+00,4.291255e+00,5.005799e+00,5.034567e+00,5.302672e+00,5.324075e+00,5.745743e+00,5.776791e+00,4.261220e+00,4.281509e+00,5.752843e+00,5.780425e+00,4.859387e+00,4.886913e+00,4.269235e+00,4.288235e+00,5.004988e+00,5.031988e+00,5.302107e+00,5.322476e+00,5.746273e+00,5.774289e+00,4.259040e+00,4.278359e+00
Malaysia,6.592521e+00,6.629937e+00,6.191957e+00,6.221152e+00,6.113434e+00,6.138032e+00,5.926348e+00,5.963480e+00,5.833019e+00,5.865743e+00,6.426693e+00,6.464368e+00,5.936879e+00,5.961464e+00,6.598613e+00,6.634850e+00,6.194162e+00,6.222681e+00,6.115099e+00,6.138908e+00,5.931460e+00,5.967460e+00,5.838924e+00,5.870857e+00,6.432946e+00,6.469064e+00,5.938349e+00,5.962159e+00
