GHG reduction( Mt CO2eq ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),9.566609e-02,1.963660e-01,9.673913e-02,1.956961e-01,9.752708e-02,1.915441e-01,1.088702e-01,2.091865e-01,9.669117e-02,1.836249e-01,9.736120e-02,1.998904e-01,1.005974e-01,1.950430e-01,9.642178e-02,1.938204e-01,9.735867e-02,1.943591e-01,9.824464e-02,1.898827e-01,1.093596e-01,2.064000e-01,9.741960e-02,1.820070e-01,9.948786e-02,1.974257e-01,1.014259e-01,1.934691e-01
South Korea,2.777716e+00,2.976619e+00,2.564199e+00,2.687462e+00,2.481382e+00,2.590080e+00,2.662119e+00,2.874899e+00,3.089478e+00,3.261690e+00,1.935891e+00,2.059561e+00,1.822005e+00,1.902838e+00,4.310448e+00,4.502145e+00,3.984634e+00,4.133462e+00,3.834947e+00,3.942273e+00,4.091095e+00,4.297532e+00,4.715626e+00,4.881950e+00,3.067980e+00,3.192890e+00,2.860699e+00,2.944172e+00
Japan,5.734365e+01,5.749716e+01,5.730099e+01,5.745129e+01,5.725795e+01,5.739863e+01,5.192400e+01,5.207618e+01,4.733405e+01,4.746897e+01,5.692397e+01,5.708106e+01,5.684004e+01,5.698242e+01,5.736766e+01,5.751671e+01,5.731741e+01,5.746504e+01,5.726710e+01,5.740460e+01,5.194615e+01,5.209402e+01,4.735737e+01,4.748919e+01,5.694766e+01,5.709853e+01,5.684721e+01,5.698631e+01
Singapore,1.461175e+01,1.499652e+01,1.416356e+01,1.454593e+01,1.388209e+01,1.423496e+01,1.342611e+01,1.381264e+01,1.331500e+01,1.368058e+01,1.341211e+01,1.379454e+01,1.268419e+01,1.303526e+01,1.465175e+01,1.503102e+01,1.419636e+01,1.457561e+01,1.390408e+01,1.425367e+01,1.346194e+01,1.384299e+01,1.335268e+01,1.371498e+01,1.344959e+01,1.382622e+01,1.270376e+01,1.305149e+01
Hong Kong,3.359867e+00,3.707748e+00,3.173256e+00,3.527960e+00,2.999681e+00,3.340584e+00,2.127887e+00,2.481370e+00,3.351266e+00,3.676002e+00,3.252089e+00,3.598533e+00,2.893578e+00,3.232099e+00,3.365381e+00,3.709028e+00,3.178100e+00,3.530456e+00,3.003851e+00,3.342845e+00,2.132261e+00,2.481743e+00,3.356592e+00,3.679136e+00,3.258483e+00,3.599758e+00,2.897824e+00,3.234095e+00
Taiwan,2.669603e+00,2.735800e+00,2.642719e+00,2.707395e+00,2.615638e+00,2.672692e+00,2.337528e+00,2.404707e+00,2.641613e+00,2.696222e+00,2.468512e+00,2.536824e+00,2.416268e+00,2.473755e+00,2.683290e+00,2.747080e+00,2.649805e+00,2.713058e+00,2.616243e+00,2.671756e+00,2.350958e+00,2.416788e+00,2.655078e+00,2.708174e+00,2.482231e+00,2.546470e+00,2.415276e+00,2.471169e+00
Rest of East Asia,1.565725e+00,2.417332e+00,1.514423e+00,2.373518e+00,1.500015e+00,2.458575e+00,1.594808e+00,2.436636e+00,1.578718e+00,2.318789e+00,1.534031e+00,2.423755e+00,1.497178e+00,2.464890e+00,1.498841e+00,2.371057e+00,1.478537e+00,2.424113e+00,1.495439e+00,2.446643e+00,1.524760e+00,2.393271e+00,1.516910e+00,2.278833e+00,1.492902e+00,2.373541e+00,1.491318e+00,2.450023e+00
Thailand,1.898259e+01,1.909997e+01,1.908887e+01,1.920491e+01,1.919469e+01,1.929815e+01,1.583416e+01,1.604934e+01,1.702500e+01,1.707597e+01,1.886332e+01,1.898426e+01,1.907767e+01,1.918256e+01,1.899643e+01,1.910871e+01,1.910176e+01,1.921477e+01,1.920703e+01,1.930710e+01,1.586442e+01,1.607879e+01,1.703840e+01,1.708694e+01,1.887756e+01,1.899130e+01,1.908832e+01,1.918977e+01
Indonesia,6.848515e+01,6.883525e+01,5.785715e+01,5.819801e+01,5.084314e+01,5.108078e+01,5.958632e+01,5.992876e+01,6.312014e+01,6.337491e+01,6.839421e+01,6.876379e+01,5.072325e+01,5.096477e+01,6.847872e+01,6.880704e+01,5.784351e+01,5.817117e+01,5.081866e+01,5.104482e+01,5.957666e+01,5.989806e+01,6.311340e+01,6.335588e+01,6.840051e+01,6.873400e+01,5.069730e+01,5.092726e+01
Malaysia,2.521567e+01,2.535878e+01,2.368355e+01,2.379522e+01,2.338321e+01,2.347730e+01,2.266763e+01,2.280965e+01,2.231065e+01,2.243582e+01,2.458140e+01,2.472550e+01,2.270791e+01,2.280194e+01,2.523897e+01,2.537757e+01,2.369199e+01,2.380107e+01,2.338958e+01,2.348065e+01,2.268718e+01,2.282488e+01,2.233324e+01,2.245538e+01,2.460531e+01,2.474346e+01,2.271353e+01,2.280460e+01
