 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),5.376751e-05,1.462815e-05,4.743021e-05,1.253823e-05,5.108286e-05,1.319016e-05,7.021200e-04,1.480642e-03,6.915369e-04,1.604954e-03,6.980337e-04,1.661854e-03,1.056280e-03,1.481620e-03,9.307910e-04,1.420958e-03,7.808354e-04,1.339725e-03,8.053937e-04,1.365751e-03,7.602324e-04,1.481324e-03,6.954811e-04,1.607410e-03,7.024933e-04,1.665290e-03,7.885223e-04,1.469217e-03
South Korea,3.482151e-01,3.479286e-01,4.160662e-01,4.157809e-01,2.879851e-01,2.876074e-01,4.488983e-01,4.792788e-01,4.467647e-01,4.824418e-01,3.450045e-01,3.743604e-01,3.575766e-01,3.642783e-01,7.276192e-01,7.516726e-01,7.010008e-01,7.442924e-01,6.776549e-01,7.404071e-01,6.600616e-01,7.407409e-01,6.464641e-01,7.421572e-01,4.858578e-01,5.516417e-01,5.364888e-01,5.538630e-01
Japan,1.850404e+00,1.850380e+00,2.087123e+00,2.087085e+00,1.675729e+00,1.675636e+00,4.074862e+00,4.114057e+00,4.128894e+00,4.178114e+00,4.099056e+00,4.148465e+00,3.996767e+00,4.004030e+00,4.030377e+00,4.037772e+00,4.016712e+00,4.029497e+00,4.029788e+00,4.058033e+00,4.077553e+00,4.116345e+00,4.131618e+00,4.180862e+00,4.101552e+00,4.150981e+00,3.995765e+00,4.004431e+00
Singapore,2.284656e+00,2.284896e+00,2.497438e+00,2.497670e+00,2.276568e+00,2.276724e+00,5.390079e+00,9.753048e+00,5.447110e+00,1.088963e+01,4.911659e+00,1.040106e+01,4.813482e+00,5.861336e+00,5.357234e+00,6.385669e+00,5.321943e+00,7.453173e+00,5.362706e+00,8.630355e+00,5.403007e+00,9.773520e+00,5.459754e+00,1.091339e+01,4.923112e+00,1.042250e+01,4.813515e+00,5.865188e+00
Hong Kong,1.162744e+00,1.162381e+00,1.978568e+00,1.979120e+00,7.105768e-01,7.105156e-01,1.900759e+00,2.682131e+00,1.927399e+00,2.919337e+00,1.883685e+00,2.881755e+00,1.806202e+00,2.082868e+00,1.849070e+00,2.123519e+00,1.868232e+00,2.273792e+00,1.893187e+00,2.468227e+00,1.907562e+00,2.687877e+00,1.933408e+00,2.926793e+00,1.889393e+00,2.888970e+00,1.801762e+00,2.084038e+00
Taiwan,1.325174e+00,1.324811e+00,1.368723e+00,1.368316e+00,1.224428e+00,1.223963e+00,1.538319e+00,1.619594e+00,1.531469e+00,1.637103e+00,1.558042e+00,1.671060e+00,1.599522e+00,1.625754e+00,1.573899e+00,1.598932e+00,1.560093e+00,1.600948e+00,1.551178e+00,1.609141e+00,1.541801e+00,1.622589e+00,1.534464e+00,1.641711e+00,1.560258e+00,1.674800e+00,1.598325e+00,1.626252e+00
Rest of East Asia,1.156097e-01,6.775751e-02,1.275889e-01,8.826451e-02,1.224656e-01,8.376622e-02,8.348080e-01,2.342329e+00,8.370986e-01,2.337441e+00,8.177303e-01,2.330440e+00,8.734318e-01,2.473647e+00,8.282561e-01,2.466504e+00,8.758191e-01,2.305069e+00,9.658255e-01,2.302274e+00,8.418287e-01,2.331068e+00,7.885222e-01,2.299693e+00,8.129888e-01,2.319045e+00,8.203074e-01,2.484414e+00
Thailand,3.166014e+00,3.165670e+00,3.235397e+00,3.234984e+00,2.213103e+00,2.212457e+00,3.678842e+00,3.860119e+00,4.020261e+00,4.252282e+00,4.006006e+00,4.239930e+00,3.062704e+00,3.080040e+00,3.084288e+00,3.101538e+00,3.090074e+00,3.133075e+00,3.345928e+00,3.476416e+00,3.688332e+00,3.868950e+00,4.030658e+00,4.262816e+00,4.015836e+00,4.251334e+00,3.062226e+00,3.081462e+00
Indonesia,3.267641e+00,3.267673e+00,3.427771e+00,3.427737e+00,2.257361e+00,2.257221e+00,5.232561e+00,5.288526e+00,5.874200e+00,5.944708e+00,5.861164e+00,5.931750e+00,3.539492e+00,3.546250e+00,3.558380e+00,3.565165e+00,3.951213e+00,3.979352e+00,4.593751e+00,4.634868e+00,5.235884e+00,5.291447e+00,5.877878e+00,5.948365e+00,5.864476e+00,5.935065e+00,3.538326e+00,3.546244e+00
Malaysia,3.518132e+00,3.518067e+00,3.775705e+00,3.775458e+00,2.659679e+00,2.659090e+00,20,24,24,29,24,29,8.370469e+00,9,8.390964e+00,9,12,14,1.598446e+01,19,20,24,24,29,24,2.950430e+01,8,9
