 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),7.653769e-04,1.589861e-03,7.734225e-04,1.583871e-03,7.791653e-04,1.550801e-03,8.661904e-04,1.687723e-03,7.725058e-04,1.487162e-03,7.778748e-04,1.616760e-03,8.024324e-04,1.577487e-03,7.712265e-04,1.569327e-03,7.781608e-04,1.572967e-03,7.846907e-04,1.537252e-03,8.700006e-04,1.665338e-03,7.781455e-04,1.473985e-03,7.945009e-04,1.596881e-03,8.088588e-04,1.564649e-03
South Korea,2.585356e-01,2.783507e-01,2.432313e-01,2.568498e-01,2.398786e-01,2.521971e-01,2.868135e-01,3.078100e-01,2.838645e-01,3.012981e-01,1.239030e-01,1.367677e-01,1.284784e-01,1.337264e-01,4.772695e-01,4.968366e-01,4.506347e-01,4.669146e-01,4.402093e-01,4.523905e-01,5.029613e-01,5.233941e-01,5.102842e-01,5.275737e-01,2.910470e-01,3.046389e-01,2.812683e-01,2.910740e-01
Japan,4.592911e+00,4.599232e+00,4.591647e+00,4.597855e+00,4.590370e+00,4.596253e+00,4.362980e+00,4.369260e+00,4.175826e+00,4.181468e+00,4.561544e+00,4.568000e+00,4.559060e+00,4.565015e+00,4.594129e+00,4.600289e+00,4.592628e+00,4.598740e+00,4.591125e+00,4.596894e+00,4.364040e+00,4.370164e+00,4.177022e+00,4.182552e+00,4.562666e+00,4.568903e+00,4.559665e+00,4.565501e+00
Singapore,8.808040e+00,8.993247e+00,8.700986e+00,8.884770e+00,8.633029e+00,8.808880e+00,8.424614e+00,8.610338e+00,8.046492e+00,8.221637e+00,8.296651e+00,8.480966e+00,8.122143e+00,8.297254e+00,8.820413e+00,9.002914e+00,8.711497e+00,8.893743e+00,8.640838e+00,8.815008e+00,8.435620e+00,8.618671e+00,8.058405e+00,8.231909e+00,8.307647e+00,8.489063e+00,8.128465e+00,8.301869e+00
Hong Kong,1.634409e+00,1.712542e+00,1.570732e+00,1.650366e+00,1.510909e+00,1.585806e+00,1.135827e+00,1.215235e+00,1.630389e+00,1.702160e+00,1.593394e+00,1.670716e+00,1.470441e+00,1.544201e+00,1.636585e+00,1.713534e+00,1.572680e+00,1.651661e+00,1.512599e+00,1.586997e+00,1.137536e+00,1.215859e+00,1.632495e+00,1.703595e+00,1.595849e+00,1.671681e+00,1.472144e+00,1.545288e+00
Taiwan,1.897856e+00,1.917275e+00,1.900490e+00,1.919432e+00,1.903066e+00,1.919995e+00,1.863142e+00,1.883029e+00,1.892407e+00,1.908735e+00,1.789316e+00,1.809088e+00,1.794846e+00,1.811821e+00,1.903059e+00,1.921815e+00,1.904518e+00,1.923073e+00,1.905963e+00,1.922456e+00,1.867907e+00,1.887463e+00,1.897567e+00,1.913473e+00,1.793987e+00,1.812785e+00,1.796913e+00,1.813435e+00
Rest of East Asia,1.206216e+00,2.140621e+00,1.142880e+00,2.042605e+00,1.099112e+00,2.035505e+00,1.230695e+00,2.162417e+00,1.188904e+00,2.012997e+00,1.207652e+00,2.148919e+00,1.111062e+00,2.049108e+00,1.108156e+00,2.065577e+00,1.082968e+00,2.075391e+00,1.078326e+00,2.058623e+00,1.131521e+00,2.089696e+00,1.102952e+00,1.956520e+00,1.114147e+00,2.067468e+00,1.085236e+00,2.061444e+00
Thailand,4.725901e+00,4.746149e+00,4.753407e+00,4.773556e+00,4.780858e+00,4.799181e+00,4.572808e+00,4.605007e+00,4.513914e+00,4.526103e+00,4.700774e+00,4.721455e+00,4.755976e+00,4.774506e+00,4.730439e+00,4.749938e+00,4.757707e+00,4.777410e+00,4.784966e+00,4.802786e+00,4.578804e+00,4.610899e+00,4.518395e+00,4.530196e+00,4.704611e+00,4.724317e+00,4.759157e+00,4.777178e+00
Indonesia,9.078261e+00,9.129012e+00,8.577491e+00,8.626401e+00,8.264505e+00,8.301021e+00,8.964004e+00,9.013168e+00,8.021561e+00,8.055286e+00,9.062369e+00,9.116781e+00,8.248715e+00,8.285941e+00,9.080897e+00,9.127801e+00,8.579505e+00,8.626091e+00,8.265694e+00,8.300192e+00,8.966228e+00,9.011676e+00,8.024160e+00,8.055757e+00,9.067206e+00,9.115066e+00,8.249416e+00,8.284611e+00
Malaysia,7.682087e+00,7.717079e+00,7.415504e+00,7.444382e+00,7.388451e+00,7.411987e+00,7.372660e+00,7.407283e+00,6.408557e+00,6.439071e+00,7.449685e+00,7.484777e+00,7.147267e+00,7.170669e+00,7.688572e+00,7.722411e+00,7.419011e+00,7.447216e+00,7.390848e+00,7.413657e+00,7.378154e+00,7.411675e+00,6.414948e+00,6.444680e+00,7.456007e+00,7.489595e+00,7.149154e+00,7.171855e+00
Rest of South East Asia,6.457285e+00,6.505475e+00,5.209297e+00,5.257732e+00,4.205270e+00,4.244762e+00,6.283647e+00,6.332462e+00,6.296547e+00,6.336915e+00,6.377869e+00,6.426402e+00,4.116085e+00,4.155703e+00,5.974547e+00,6.022948e+00,4.812832e+00,4.860954e+00,3.880067e+00,3.919222e+00,5.813753e+00,5.861979e+00,5.879347e+00,5.919402e+00,5.900710e+00,5.949223e+00,3.797064e+00,3.836324e+00
India,7.842247e+00,7.905474e+00,7.339935e+00,7.402388e+00,6.887445e+00,6.946239e+00,7.778770e+00,7.841777e+00,6.279157e+00,6.338541e+00,7.794285e+00,7.857635e+00,6.839144e+00,6.898043e+00,7.843095e+00,7.905393e+00,7.340662e+00,7.402533e+00,6.887871e+00,6.946020e+00,7.779490e+00,7.841601e+00,6.279991e+00,6.338764e+00,7.795130e+00,7.857495e+00,6.839521e+00,6.897767e+00
Rest of South Asia,9.700000e+00,9.700000e+00,8.167042e+00,8.210378e+00,6.806714e+00,6.836003e+00,9.475154e+00,9.500000e+00,9.200000e+00,9.200000e+00,9.576633e+00,9.600000e+00,6.671201e+00,6.700769e+00,9.109539e+00,9.151155e+00,7.725684e+00,7.767968e+00,6.506468e+00,6.534547e+00,8.896172e+00,8.937370e+00,8.580508e+00,8.604410e+00,8.993092e+00,9.035117e+00,6.377454e+00,6.405867e+00
Australia,5.378444e+00,5.418409e+00,5.379729e+00,5.416913e+00,5.381177e+00,5.416140e+00,5.231505e+00,5.271227e+00,4.660556e+00,4.697349e+00,5.288957e+00,5.329150e+00,5.291488e+00,5.326529e+00,5.388029e+00,5.427221e+00,5.385681e+00,5.422396e+00,5.386728e+00,5.421166e+00,5.239748e+00,5.278729e+00,4.670116e+00,4.706391e+00,5.297467e+00,5.336734e+00,5.295827e+00,5.330336e+00
