 NOx reduction( Mt ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),1.991711e-04,4.137234e-04,2.012647e-04,4.121645e-04,2.027592e-04,4.035588e-04,2.254054e-04,4.391896e-04,2.010262e-04,3.869983e-04,2.024233e-04,4.207232e-04,2.088139e-04,4.105032e-04,2.006933e-04,4.083799e-04,2.024978e-04,4.093270e-04,2.041970e-04,4.000331e-04,2.263969e-04,4.333644e-04,2.024938e-04,3.835693e-04,2.067499e-04,4.155502e-04,2.104862e-04,4.071625e-04
South Korea,4.009094e-03,4.316366e-03,3.771771e-03,3.982953e-03,3.719780e-03,3.910803e-03,4.447597e-03,4.773189e-03,4.401867e-03,4.672209e-03,1.921355e-03,2.120847e-03,1.992305e-03,2.073686e-03,7.400985e-03,7.704412e-03,6.987962e-03,7.240413e-03,6.826295e-03,7.015189e-03,7.799387e-03,8.116236e-03,7.912943e-03,8.181050e-03,4.513246e-03,4.724014e-03,4.361608e-03,4.513664e-03
Japan,1.186529e-01,1.188162e-01,1.186203e-01,1.187807e-01,1.185873e-01,1.187393e-01,1.127129e-01,1.128752e-01,1.078780e-01,1.080238e-01,1.178426e-01,1.180094e-01,1.177784e-01,1.179323e-01,1.186844e-01,1.188436e-01,1.186456e-01,1.188035e-01,1.186068e-01,1.187558e-01,1.127403e-01,1.128985e-01,1.079089e-01,1.080518e-01,1.178716e-01,1.180327e-01,1.177941e-01,1.179448e-01
Singapore,3.214408e-02,3.281997e-02,3.175339e-02,3.242409e-02,3.150539e-02,3.214714e-02,3.074480e-02,3.142258e-02,2.936488e-02,3.000405e-02,3.027781e-02,3.095045e-02,2.964096e-02,3.028001e-02,3.218923e-02,3.285525e-02,3.179175e-02,3.245684e-02,3.153389e-02,3.216950e-02,3.078496e-02,3.145299e-02,2.940836e-02,3.004154e-02,3.031794e-02,3.098000e-02,2.966403e-02,3.029685e-02
Hong Kong,8.136424e-03,8.525391e-03,7.819427e-03,8.215862e-03,7.521618e-03,7.894468e-03,5.654382e-03,6.049690e-03,8.116413e-03,8.473705e-03,7.932247e-03,8.317170e-03,7.320157e-03,7.687351e-03,8.147257e-03,8.530325e-03,7.829126e-03,8.222310e-03,7.530032e-03,7.900401e-03,5.662890e-03,6.052799e-03,8.126899e-03,8.480849e-03,7.944464e-03,8.321972e-03,7.328639e-03,7.692761e-03
Taiwan,1.286762e-02,1.299928e-02,1.288548e-02,1.301391e-02,1.290294e-02,1.301773e-02,1.263226e-02,1.276709e-02,1.283067e-02,1.294138e-02,1.213171e-02,1.226576e-02,1.216920e-02,1.228429e-02,1.290290e-02,1.303006e-02,1.291279e-02,1.303859e-02,1.292258e-02,1.303441e-02,1.266457e-02,1.279715e-02,1.286566e-02,1.297351e-02,1.216338e-02,1.229083e-02,1.218322e-02,1.229524e-02
Rest of East Asia,1.871978e-03,3.322122e-03,1.773685e-03,3.170007e-03,1.705759e-03,3.158989e-03,1.909969e-03,3.355948e-03,1.845112e-03,3.124057e-03,1.874207e-03,3.335000e-03,1.724306e-03,3.180099e-03,1.719795e-03,3.205659e-03,1.680706e-03,3.220889e-03,1.673501e-03,3.194866e-03,1.756056e-03,3.243090e-03,1.711719e-03,3.036408e-03,1.729092e-03,3.208593e-03,1.684224e-03,3.199244e-03
Thailand,4.367249e-02,4.385960e-02,4.392667e-02,4.411287e-02,4.418035e-02,4.434967e-02,4.225774e-02,4.255530e-02,4.171349e-02,4.182613e-02,4.344029e-02,4.363141e-02,4.395041e-02,4.412165e-02,4.371443e-02,4.389462e-02,4.396641e-02,4.414849e-02,4.421832e-02,4.438299e-02,4.231315e-02,4.260975e-02,4.175491e-02,4.186396e-02,4.347574e-02,4.365785e-02,4.397981e-02,4.414635e-02
Indonesia,1.823039e-01,1.833231e-01,1.722478e-01,1.732300e-01,1.659626e-01,1.666959e-01,1.800095e-01,1.809968e-01,1.610839e-01,1.617612e-01,1.819848e-01,1.830775e-01,1.656455e-01,1.663931e-01,1.823569e-01,1.832988e-01,1.722882e-01,1.732237e-01,1.659865e-01,1.666792e-01,1.800542e-01,1.809668e-01,1.611361e-01,1.617706e-01,1.820819e-01,1.830430e-01,1.656596e-01,1.663664e-01
Malaysia,4.932571e-02,4.955039e-02,4.761401e-02,4.779944e-02,4.744031e-02,4.759143e-02,4.733891e-02,4.756123e-02,4.114853e-02,4.134446e-02,4.783349e-02,4.805881e-02,4.589169e-02,4.604196e-02,4.936735e-02,4.958462e-02,4.763653e-02,4.781763e-02,4.745570e-02,4.760215e-02,4.737420e-02,4.758943e-02,4.118957e-02,4.138048e-02,4.787408e-02,4.808974e-02,4.590381e-02,4.604957e-02
