PM2.5 reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),5.434935e-05,1.525421e-05,4.824935e-05,1.326158e-05,5.201281e-05,1.395112e-05,7.094046e-04,1.535486e-03,6.986190e-04,1.672262e-03,7.050416e-04,1.737200e-03,1.081113e-03,1.538945e-03,9.443868e-04,1.470543e-03,7.888969e-04,1.382215e-03,8.137985e-04,1.410953e-03,7.676591e-04,1.536823e-03,7.028193e-04,1.675519e-03,7.097202e-04,1.741467e-03,7.992751e-04,1.526188e-03
South Korea,2.441762e-01,2.439156e-01,3.117979e-01,3.115381e-01,2.007393e-01,2.004250e-01,2.685864e-01,2.968281e-01,2.662207e-01,2.980893e-01,2.044512e-01,2.281130e-01,2.167089e-01,2.223661e-01,4.657281e-01,4.889982e-01,4.399856e-01,4.812330e-01,4.168442e-01,4.763207e-01,4.015327e-01,4.753817e-01,3.912260e-01,4.753536e-01,2.920417e-01,3.380572e-01,3.291495e-01,3.418359e-01
Japan,2.386664e+00,2.386640e+00,2.494029e+00,2.493999e+00,2.254172e+00,2.254082e+00,4.294836e+00,4.349875e+00,4.365961e+00,4.434931e+00,4.340590e+00,4.409813e+00,4.190824e+00,4.200982e+00,4.221156e+00,4.231392e+00,4.210035e+00,4.228435e+00,4.233573e+00,4.273573e+00,4.298198e+00,4.352821e+00,4.369486e+00,4.438481e+00,4.343784e+00,4.413031e+00,4.189949e+00,4.201446e+00
Singapore,2.232519e+00,2.232750e+00,4.338443e+00,4.338312e+00,2.254333e+00,2.254456e+00,6.930880e+00,9.523548e+00,6.988485e+00,1.023972e+01,6.346472e+00,9.638483e+00,6.237268e+00,6.809723e+00,6.887699e+00,7.448779e+00,6.857515e+00,8.089440e+00,6.900085e+00,8.823457e+00,6.942853e+00,9.542743e+00,7.000761e+00,1.026179e+01,6.357567e+00,9.658225e+00,6.237698e+00,6.814049e+00
Hong Kong,8.463248e-01,8.458786e-01,1.806542e+00,1.807104e+00,4.987063e-01,4.985875e-01,1.785684e+00,2.648072e+00,1.807247e+00,2.899261e+00,1.770424e+00,2.869237e+00,1.711144e+00,2.032748e+00,1.746110e+00,2.065868e+00,1.762609e+00,2.221496e+00,1.785170e+00,2.423469e+00,1.793544e+00,2.654072e+00,1.814068e+00,2.906989e+00,1.776872e+00,2.876727e+00,1.705406e+00,2.033714e+00
Taiwan,9.844378e-01,9.841395e-01,1.056112e+00,1.055743e+00,9.003034e-01,8.999107e-01,1.191690e+00,1.255828e+00,1.186956e+00,1.270122e+00,1.206551e+00,1.296995e+00,1.239038e+00,1.262221e+00,1.219711e+00,1.241428e+00,1.209170e+00,1.241578e+00,1.202503e+00,1.247696e+00,1.194618e+00,1.258105e+00,1.189193e+00,1.274035e+00,1.208196e+00,1.300384e+00,1.237651e+00,1.262637e+00
Rest of East Asia,1.186277e-01,7.243463e-02,1.385174e-01,1.012296e-01,1.233109e-01,8.831617e-02,7.654832e-01,2.213095e+00,7.685409e-01,2.212555e+00,7.539355e-01,2.209888e+00,8.118507e-01,2.341505e+00,7.553291e-01,2.328923e+00,7.969006e-01,2.183285e+00,8.832153e-01,2.179223e+00,7.636988e-01,2.197345e+00,7.143271e-01,2.169219e+00,7.441163e-01,2.191475e+00,7.527761e-01,2.349927e+00
Thailand,2.937080e+00,2.936682e+00,3.266406e+00,3.265691e+00,2.483580e+00,2.483000e+00,3.841258e+00,4.033827e+00,4.046070e+00,4.295334e+00,4.047711e+00,4.299204e+00,3.505863e+00,3.528260e+00,3.510636e+00,3.532863e+00,3.493372e+00,3.548735e+00,3.645281e+00,3.780831e+00,3.850151e+00,4.041948e+00,4.055577e+00,4.304876e+00,4.056515e+00,4.309772e+00,3.505605e+00,3.530082e+00
Indonesia,5.055282e+00,5.055057e+00,5.669988e+00,5.669526e+00,4.676142e+00,4.675820e+00,8.057397e+00,8.136390e+00,8.372477e+00,8.472432e+00,8.378066e+00,8.478251e+00,7.262674e+00,7.274660e+00,7.263023e+00,7.275030e+00,7.431364e+00,7.469571e+00,7.746925e+00,7.803921e+00,8.061939e+00,8.140094e+00,8.376973e+00,8.476839e+00,8.381727e+00,8.481848e+00,7.260329e+00,7.275088e+00
Malaysia,3.920273e+00,3.920104e+00,4.611784e+00,4.611097e+00,3.363952e+00,3.363414e+00,2.973238e+01,31,34,36,34,36,12,1.190408e+01,12,1.191669e+01,1.981420e+01,1.952190e+01,25,26,2.975718e+01,31,34,36,34,36,12,1.191787e+01
Rest of South East Asia,5.103046e+00,5.102709e+00,5.365242e+00,5.364922e+00,3.588784e+00,3.588318e+00,6.425788e+00,6.590179e+00,7.246020e+00,7.453666e+00,7.147511e+00,7.360988e+00,4.255824e+00,4.315725e+00,4.137464e+00,4.197330e+00,4.625941e+00,4.716567e+00,5.398765e+00,5.528209e+00,6.182742e+00,6.347660e+00,6.967280e+00,7.176657e+00,6.877769e+00,7.091573e+00,4.056633e+00,4.117433e+00
India,1.891302e+00,1.891309e+00,1.891002e+00,1.891018e+00,1.421842e+00,1.421834e+00,4.584093e+00,4.697721e+00,4.917216e+00,5.046228e+00,4.831326e+00,4.960734e+00,3.595281e+00,3.671624e+00,3.682513e+00,3.758402e+00,3.919219e+00,4.006363e+00,4.252874e+00,4.351109e+00,4.585984e+00,4.698904e+00,4.918800e+00,5.047736e+00,4.832858e+00,4.962179e+00,3.593692e+00,3.671244e+00
Rest of South Asia,7,7,7,7,4.320154e+00,4.319380e+00,8.679626e+00,8.736721e+00,9.850470e+00,9.902682e+00,9.724253e+00,9.777148e+00,5.397930e+00,5.426765e+00,5.346693e+00,5.376442e+00,6.140430e+00,6.184859e+00,7.198916e+00,7.246673e+00,8.253954e+00,8.309525e+00,9.316593e+00,9.372744e+00,9.204445e+00,9.268696e+00,5.216661e+00,5.247153e+00
Australia,3.830043e+00,3.830207e+00,4.011344e+00,4.011518e+00,3.632389e+00,3.632464e+00,4.734264e+00,4.884989e+00,4.735511e+00,4.928824e+00,4.614299e+00,4.808909e+00,4.615429e+00,4.669776e+00,4.744507e+00,4.798035e+00,4.742275e+00,4.824797e+00,4.742386e+00,4.857389e+00,4.743433e+00,4.894242e+00,4.745001e+00,4.939035e+00,4.622055e+00,4.817356e+00,4.620361e+00,4.675667e+00
Rest of Oceania,5.056646e+00,5.057963e+00,5.718344e+00,5.719515e+00,4.145609e+00,4.146575e+00,7.618450e+00,7.864542e+00,8.064263e+00,8.351498e+00,7.844334e+00,8.130416e+00,6.457353e+00,6.566448e+00,3.412044e+00,3.506782e+00,3.424551e+00,3.531284e+00,3.439244e+00,3.563403e+00,3.452442e+00,3.629104e+00,3.497957e+00,3.725807e+00,3.405043e+00,3.640847e+00,3.314196e+00,3.409650e+00
Russia,1.972843e-02,5.965202e-03,1.942616e-02,5.870406e-03,1.837914e-02,5.074587e-03,2.583369e-01,8.660338e-01,2.807745e-01,9.691694e-01,2.781492e-01,9.683538e-01,2.270550e-01,6.537788e-01,2.224087e-01,6.551896e-01,2.378589e-01,7.007019e-01,2.620802e-01,7.739709e-01,2.695093e-01,8.676264e-01,2.828347e-01,9.715552e-01,2.804704e-01,9.711764e-01,2.144864e-01,6.533551e-01
Rest of FSU,1.014172e+00,1.014202e+00,1.290473e+00,1.290275e+00,7.544987e-01,7.541165e-01,2.233683e+00,2.253661e+00,2.543141e+00,2.562225e+00,2.494918e+00,2.514603e+00,1.400739e+00,1.419769e+00,1.014260e+00,1.029692e+00,1.126015e+00,1.151687e+00,1.344379e+00,1.367720e+00,1.561666e+00,1.584698e+00,1.778409e+00,1.801231e+00,1.741134e+00,1.765271e+00,9.703644e-01,9.890812e-01
Iran,6.596246e-04,6.596246e-04,6.596246e-04,6.596246e-04,1.070316e-03,6.596246e-04,1.280593e-02,5.554736e-02,1.153972e-02,4.737419e-02,1.219880e-02,5.041432e-02,3.443806e-02,9.538851e-02,3.003934e-02,9.311542e-02,2.147227e-02,7.928674e-02,1.959585e-02,6.859433e-02,1.491650e-02,6.003717e-02,1.300060e-02,5.201841e-02,1.355344e-02,5.498687e-02,3.112957e-02,9.652710e-02
UAE,2.444069e+00,2.443794e+00,3.222394e+00,3.222097e+00,2.496443e+00,2.495802e+00,6.658382e+00,6.721770e+00,6.945039e+00,7.016562e+00,5.960004e+00,6.055621e+00,5.429781e+00,5.512475e+00,6.481233e+00,6.506338e+00,6.507903e+00,6.538110e+00,6.557431e+00,6.595658e+00,6.682599e+00,6.743734e+00,6.970712e+00,7.041628e+00,5.983262e+00,6.081636e+00,5.434129e+00,5.517761e+00
Middle East,4.424642e+00,4.424725e+00,5.031372e+00,5.031428e+00,4.082343e+00,4.082368e+00,7.609565e+00,7.626996e+00,8.169746e+00,8.189515e+00,7.853844e+00,7.873375e+00,5.942385e+00,5.949195e+00,4.724227e+00,4.731317e+00,4.856356e+00,4.865884e+00,5.191509e+00,5.206299e+00,5.576743e+00,5.593944e+00,5.961931e+00,5.981679e+00,5.708604e+00,5.728117e+00,4.432279e+00,4.440002e+00
Rest of OPEC,6.586141e+00,6.586341e+00,6.732184e+00,6.732362e+00,6,6,7.664452e+00,7.699928e+00,7.924665e+00,7.959029e+00,7.891201e+00,7.925322e+00,6.964900e+00,6.994953e+00,6.679118e+00,6.709105e+00,6.813645e+00,6.850992e+00,7.066859e+00,7.102267e+00,7.319953e+00,7.354406e+00,7.572995e+00,7.606551e+00,7.544339e+00,7.578236e+00,6.637488e+00,6.669797e+00
Nigeria,3.156790e+00,3.154561e+00,3.376155e+00,3.373877e+00,2.102670e+00,2.101367e+00,5.581393e+00,5.710200e+00,6.366707e+00,6.480535e+00,6.112394e+00,6.228754e+00,3.253338e+00,3.372953e+00,3.524410e+00,3.648795e+00,4.046012e+00,4.165002e+00,4.830636e+00,4.936461e+00,5.588502e+00,5.710643e+00,6.368943e+00,6.481580e+00,6.114450e+00,6.229671e+00,3.242039e+00,3.370519e+00
South Africa,2.415051e+00,2.412865e+00,3.553857e+00,3.553942e+00,2.009950e+00,2.008266e+00,6.271101e+00,6.435731e+00,6.713090e+00,6.880375e+00,6.603764e+00,6.771049e+00,5.014891e+00,5.167933e+00,5.129379e+00,5.283223e+00,5.397047e+00,5.552345e+00,5.843140e+00,5.997260e+00,6.282671e+00,6.443615e+00,6.723398e+00,6.889695e+00,6.613392e+00,6.779816e+00,5.011877e+00,5.168896e+00
Rest of Africa,1.846560e+00,1.846780e+00,1.964326e+00,1.964465e+00,1.614292e+00,1.614152e+00,2.733570e+00,2.758247e+00,2.936738e+00,2.961944e+00,2.837897e+00,2.863439e+00,2.169076e+00,2.192350e+00,2.071304e+00,2.094431e+00,2.111408e+00,2.132616e+00,2.275881e+00,2.299030e+00,2.446475e+00,2.470456e+00,2.616413e+00,2.641744e+00,2.530425e+00,2.556045e+00,1.973054e+00,2.000602e+00
