PM2.5 reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),6.734841e-04,1.447898e-03,6.833630e-04,1.444468e-03,6.910185e-04,1.414581e-03,7.953705e-04,1.567033e-03,6.811972e-04,1.350421e-03,6.938441e-04,1.482215e-03,7.218655e-04,1.448706e-03,6.800228e-04,1.429122e-03,6.888780e-04,1.434992e-03,6.973405e-04,1.402631e-03,7.994951e-04,1.546022e-03,6.875191e-04,1.338703e-03,7.108944e-04,1.464109e-03,7.290865e-04,1.437474e-03
South Korea,2.092419e-01,2.290455e-01,1.921001e-01,2.046624e-01,1.863339e-01,1.971327e-01,2.199766e-01,2.413705e-01,2.269908e-01,2.444362e-01,1.264522e-01,1.378517e-01,1.228121e-01,1.293797e-01,3.433344e-01,3.629027e-01,3.122361e-01,3.291304e-01,2.995366e-01,3.102713e-01,3.495602e-01,3.703878e-01,3.662304e-01,3.835096e-01,2.116594e-01,2.243647e-01,1.995204e-01,2.066832e-01
Japan,3.107635e+00,3.114376e+00,3.108373e+00,3.114978e+00,3.109096e+00,3.115262e+00,2.885262e+00,2.891948e+00,2.924047e+00,2.930011e+00,3.086181e+00,3.093071e+00,3.087716e+00,3.093953e+00,3.108998e+00,3.115553e+00,3.109332e+00,3.115824e+00,3.109662e+00,3.115695e+00,2.886517e+00,2.893023e+00,2.925382e+00,2.931217e+00,3.087477e+00,3.094107e+00,3.088145e+00,3.094245e+00
Singapore,7.746354e+00,7.832153e+00,7.619403e+00,7.700000e+00,7.500000e+00,7.600000e+00,5.845022e+00,5.931612e+00,7.563746e+00,7.644047e+00,7.063305e+00,7.147596e+00,6.853863e+00,6.934612e+00,7.757066e+00,7.841484e+00,7.628241e+00,7.700000e+00,7.500000e+00,7.600000e+00,5.854427e+00,5.939626e+00,7.573982e+00,7.653429e+00,7.073281e+00,7.156051e+00,6.859094e+00,6.939050e+00
Hong Kong,1.346001e+00,1.431140e+00,1.298308e+00,1.386054e+00,1.254326e+00,1.338161e+00,7.978947e-01,8.848804e-01,1.339755e+00,1.417920e+00,1.309916e+00,1.394229e+00,1.218844e+00,1.301510e+00,1.347908e+00,1.431893e+00,1.299991e+00,1.387115e+00,1.255833e+00,1.339092e+00,7.994128e-01,8.853162e-01,1.341566e+00,1.419142e+00,1.312189e+00,1.394994e+00,1.220403e+00,1.302383e+00
Taiwan,7.072029e-01,7.205156e-01,7.087695e-01,7.216469e-01,7.102770e-01,7.213047e-01,6.445165e-01,6.582775e-01,7.037326e-01,7.141395e-01,6.419382e-01,6.556834e-01,6.453732e-01,6.564829e-01,7.102275e-01,7.229077e-01,7.106864e-01,7.231934e-01,7.111319e-01,7.217521e-01,6.473753e-01,6.609613e-01,7.067136e-01,7.167230e-01,6.449432e-01,6.577155e-01,6.458754e-01,6.565669e-01
Rest of East Asia,1.271576e+00,2.257215e+00,1.196268e+00,2.159847e+00,1.133534e+00,2.138812e+00,1.297204e+00,2.277244e+00,1.244174e+00,2.121252e+00,1.266291e+00,2.264145e+00,1.138697e+00,2.146365e+00,1.141909e+00,2.116697e+00,1.111925e+00,2.117830e+00,1.095432e+00,2.103119e+00,1.166620e+00,2.138006e+00,1.132765e+00,2.007449e+00,1.144870e+00,2.118612e+00,1.099358e+00,2.106303e+00
Thailand,2.696938e+00,2.711310e+00,2.708769e+00,2.723307e+00,2.720550e+00,2.733655e+00,2.350837e+00,2.377542e+00,2.560609e+00,2.568934e+00,2.672596e+00,2.687409e+00,2.696429e+00,2.709769e+00,2.699294e+00,2.712985e+00,2.710983e+00,2.725125e+00,2.722665e+00,2.735321e+00,2.354547e+00,2.381468e+00,2.562930e+00,2.570888e+00,2.674775e+00,2.688703e+00,2.698163e+00,2.711050e+00
Indonesia,8.113859e+00,8.150642e+00,7.700000e+00,7.700000e+00,7.450090e+00,7.476462e+00,7.576818e+00,7.612543e+00,7.428907e+00,7.454060e+00,8.095827e+00,8.135066e+00,7.400000e+00,7.457823e+00,8.116044e+00,8.150188e+00,7.700000e+00,7.700000e+00,7.450866e+00,7.475838e+00,7.578652e+00,7.611830e+00,7.431062e+00,7.454737e+00,8.099391e+00,8.100000e+00,7.400000e+00,7.456771e+00
Malaysia,4.320917e+00,4.342036e+00,3.947427e+00,3.963896e+00,3.785986e+00,3.802056e+00,3.638418e+00,3.659392e+00,4.195712e+00,4.214011e+00,4.071027e+00,4.092126e+00,3.529123e+00,3.545153e+00,4.325798e+00,4.346209e+00,3.949815e+00,3.965876e+00,3.790060e+00,3.805419e+00,3.642607e+00,3.662901e+00,4.200536e+00,4.218357e+00,4.075884e+00,4.096064e+00,3.532973e+00,3.548312e+00
