PM2.5 reduction( Mt ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),4.820795e-05,1.036404e-04,4.891508e-05,1.033949e-04,4.946306e-05,1.012556e-04,5.693257e-05,1.121681e-04,4.876005e-05,9.666308e-05,4.966532e-05,1.060968e-04,5.167109e-05,1.036983e-04,4.867599e-05,1.022965e-04,4.930984e-05,1.027166e-04,4.991559e-05,1.004003e-04,5.722781e-05,1.106642e-04,4.921258e-05,9.582428e-05,5.088577e-05,1.048008e-04,5.218797e-05,1.028943e-04
South Korea,3.367283e-04,3.685977e-04,3.091424e-04,3.293585e-04,2.998630e-04,3.172412e-04,3.540033e-04,3.884320e-04,3.652911e-04,3.933656e-04,2.034966e-04,2.218416e-04,1.976388e-04,2.082078e-04,5.525203e-04,5.840111e-04,5.024745e-04,5.296621e-04,4.820374e-04,4.993126e-04,5.625392e-04,5.960567e-04,5.893663e-04,6.171733e-04,3.406186e-04,3.610651e-04,3.210837e-04,3.326106e-04
Japan,7.895898e-03,7.913027e-03,7.897775e-03,7.914556e-03,7.899612e-03,7.915277e-03,7.330891e-03,7.347881e-03,7.429438e-03,7.444591e-03,7.841389e-03,7.858895e-03,7.845289e-03,7.861136e-03,7.899362e-03,7.916017e-03,7.900210e-03,7.916706e-03,7.901050e-03,7.916379e-03,7.334080e-03,7.350611e-03,7.432829e-03,7.447654e-03,7.844681e-03,7.861528e-03,7.846380e-03,7.861878e-03
Singapore,3.937887e-03,3.981503e-03,3.873351e-03,3.916671e-03,3.831154e-03,3.872832e-03,2.971338e-03,3.015356e-03,3.845057e-03,3.885879e-03,3.590656e-03,3.633506e-03,3.484186e-03,3.525235e-03,3.943332e-03,3.986246e-03,3.877844e-03,3.920798e-03,3.834214e-03,3.875498e-03,2.976119e-03,3.019430e-03,3.850261e-03,3.890648e-03,3.595728e-03,3.637804e-03,3.486845e-03,3.527491e-03
Hong Kong,2.072636e-03,2.203737e-03,1.999196e-03,2.134311e-03,1.931470e-03,2.060564e-03,1.228636e-03,1.362580e-03,2.063018e-03,2.183380e-03,2.017070e-03,2.146899e-03,1.876833e-03,2.004127e-03,2.075573e-03,2.204896e-03,2.001787e-03,2.135944e-03,1.933791e-03,2.061997e-03,1.230973e-03,1.363252e-03,2.065806e-03,2.185262e-03,2.020570e-03,2.148077e-03,1.879234e-03,2.005471e-03
Taiwan,6.484333e-04,6.606397e-04,6.498698e-04,6.616770e-04,6.512520e-04,6.613633e-04,5.909563e-04,6.035737e-04,6.452514e-04,6.547935e-04,5.885923e-04,6.011952e-04,5.917418e-04,6.019283e-04,6.512066e-04,6.628331e-04,6.516274e-04,6.630950e-04,6.520359e-04,6.617735e-04,5.935775e-04,6.060345e-04,6.479847e-04,6.571623e-04,5.913476e-04,6.030584e-04,5.922022e-04,6.020053e-04
Rest of East Asia,6.541062e-04,1.161124e-03,6.153671e-04,1.111038e-03,5.830965e-04,1.100217e-03,6.672892e-04,1.171428e-03,6.400106e-04,1.091185e-03,6.513872e-04,1.164689e-03,5.857525e-04,1.104103e-03,5.874045e-04,1.088841e-03,5.719805e-04,1.089424e-03,5.634964e-04,1.081856e-03,6.001159e-04,1.099803e-03,5.827009e-04,1.032643e-03,5.889277e-04,1.089826e-03,5.655162e-04,1.083495e-03
Thailand,3.563446e-03,3.582436e-03,3.579079e-03,3.598288e-03,3.594645e-03,3.611960e-03,3.106145e-03,3.141431e-03,3.383315e-03,3.394315e-03,3.531283e-03,3.550855e-03,3.562773e-03,3.580399e-03,3.566559e-03,3.584648e-03,3.582004e-03,3.600690e-03,3.597439e-03,3.614161e-03,3.111047e-03,3.146618e-03,3.386382e-03,3.396897e-03,3.534162e-03,3.552566e-03,3.565065e-03,3.582093e-03
Indonesia,2.036017e-02,2.045247e-02,1.934892e-02,1.943796e-02,1.869457e-02,1.876075e-02,1.901257e-02,1.910221e-02,1.864141e-02,1.870453e-02,2.031492e-02,2.041339e-02,1.864660e-02,1.871398e-02,2.036565e-02,2.045133e-02,1.935289e-02,1.943793e-02,1.869652e-02,1.875918e-02,1.901717e-02,1.910043e-02,1.864682e-02,1.870623e-02,2.032387e-02,2.041116e-02,1.864750e-02,1.871134e-02
Malaysia,2.939106e-03,2.953471e-03,2.685057e-03,2.696259e-03,2.575244e-03,2.586175e-03,2.474867e-03,2.489134e-03,2.853941e-03,2.866388e-03,2.769130e-03,2.783481e-03,2.400524e-03,2.411428e-03,2.942426e-03,2.956309e-03,2.686681e-03,2.697606e-03,2.578014e-03,2.588462e-03,2.477717e-03,2.491521e-03,2.857222e-03,2.869344e-03,2.772434e-03,2.786160e-03,2.403143e-03,2.413576e-03
