SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),5.373614e-05,1.446001e-05,4.719401e-05,1.243408e-05,5.096840e-05,1.308060e-05,7.017562e-04,1.486175e-03,6.912186e-04,1.612263e-03,6.979397e-04,1.672559e-03,1.062759e-03,1.491192e-03,9.324936e-04,1.427362e-03,7.804147e-04,1.344317e-03,8.048439e-04,1.370208e-03,7.599496e-04,1.487097e-03,6.950791e-04,1.615029e-03,7.023187e-04,1.676283e-03,7.894278e-04,1.478798e-03
South Korea,2.050225e-01,2.047920e-01,2.856556e-01,2.854307e-01,1.470767e-01,1.467239e-01,4.089708e-01,4.491916e-01,4.059047e-01,4.538919e-01,3.065659e-01,3.441527e-01,3.226854e-01,3.312261e-01,6.503984e-01,6.736346e-01,6.281213e-01,6.683421e-01,6.083508e-01,6.666176e-01,5.950644e-01,6.700684e-01,5.863106e-01,6.746430e-01,4.407894e-01,4.908195e-01,4.696084e-01,4.840510e-01
Japan,1.967072e+00,1.967041e+00,2.122479e+00,2.122440e+00,1.793190e+00,1.793096e+00,3.934109e+00,3.981842e+00,3.998729e+00,4.058665e+00,3.964926e+00,4.025088e+00,3.826676e+00,3.835295e+00,3.864904e+00,3.873630e+00,3.855650e+00,3.871193e+00,3.878106e+00,3.912659e+00,3.937134e+00,3.984452e+00,4.001860e+00,4.061819e+00,3.967786e+00,4.027969e+00,3.825686e+00,3.835685e+00
Singapore,1.569636e+00,1.569781e+00,1.767480e+00,1.767616e+00,1.579831e+00,1.579926e+00,4.678792e+00,9.947748e+00,4.718767e+00,1.113721e+01,4.159319e+00,1.062656e+01,4.136639e+00,5.469567e+00,4.704292e+00,6.012321e+00,4.652587e+00,7.343264e+00,4.672877e+00,8.747242e+00,4.691743e+00,9.968421e+00,4.731215e+00,1.116120e+01,4.170776e+00,1.064841e+01,4.136642e+00,5.473279e+00
Hong Kong,7.942370e-01,7.937942e-01,1.753138e+00,1.753729e+00,4.471765e-01,4.470891e-01,1.735084e+00,2.549068e+00,1.754881e+00,2.789824e+00,1.710724e+00,2.751726e+00,1.656872e+00,1.954902e+00,1.699330e+00,1.995859e+00,1.714597e+00,2.142118e+00,1.735570e+00,2.334412e+00,1.742721e+00,2.554822e+00,1.761479e+00,2.797265e+00,1.716973e+00,2.758939e+00,1.651278e+00,1.955832e+00
Taiwan,4.564364e-01,4.561856e-01,5.181647e-01,5.178538e-01,3.284691e-01,3.280683e-01,6.724304e-01,7.202002e-01,6.720098e-01,7.359876e-01,6.792536e-01,7.508528e-01,6.883920e-01,7.061148e-01,6.803361e-01,6.968767e-01,6.766046e-01,7.006817e-01,6.755336e-01,7.088638e-01,6.736359e-01,7.210343e-01,6.728022e-01,7.382631e-01,6.796485e-01,7.526602e-01,6.864200e-01,7.053768e-01
Rest of East Asia,1.035288e-01,6.099994e-02,1.152662e-01,8.285926e-02,1.115108e-01,7.714879e-02,7.485818e-01,2.155447e+00,7.536643e-01,2.164149e+00,7.278093e-01,2.150384e+00,7.656799e-01,2.250521e+00,7.312394e-01,2.255221e+00,7.777402e-01,2.113765e+00,8.626897e-01,2.112454e+00,7.474786e-01,2.131741e+00,7.020900e-01,2.110866e+00,7.256770e-01,2.125942e+00,7.250651e-01,2.269097e+00
Thailand,2.504453e+00,2.503967e+00,2.598567e+00,2.597990e+00,2.108153e+00,2.107450e+00,3.465143e+00,3.622645e+00,3.695242e+00,3.898274e+00,3.663771e+00,3.868752e+00,2.996855e+00,3.013847e+00,3.034050e+00,3.050961e+00,3.059510e+00,3.101937e+00,3.242484e+00,3.354131e+00,3.472995e+00,3.629789e+00,3.703694e+00,3.906776e+00,3.671701e+00,3.878413e+00,2.996315e+00,3.015158e+00
Indonesia,2.714707e+00,2.714735e+00,2.924311e+00,2.924257e+00,2.396757e+00,2.396661e+00,4.949826e+00,5.001536e+00,5.368943e+00,5.434115e+00,5.350794e+00,5.415989e+00,3.798156e+00,3.805595e+00,3.821555e+00,3.829023e+00,4.113362e+00,4.139252e+00,4.533209e+00,4.571090e+00,4.952619e+00,5.003940e+00,5.371993e+00,5.437118e+00,5.353481e+00,5.418660e+00,3.796995e+00,3.805569e+00
Malaysia,2.879804e+00,2.879704e+00,3.159063e+00,3.158769e+00,2.351612e+00,2.351073e+00,20,2.380891e+01,24,2.896230e+01,24,2.899572e+01,7.793291e+00,8.714311e+00,7.814529e+00,8.719065e+00,1.150486e+01,1.358223e+01,1.566624e+01,1.869369e+01,20,2.383765e+01,24,2.899722e+01,24,29,7.801397e+00,8.722219e+00
