SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),7.345393e-04,1.539923e-03,7.433646e-04,1.534963e-03,7.498863e-04,1.503156e-03,8.445406e-04,1.647083e-03,7.417019e-04,1.438796e-03,7.503550e-04,1.570054e-03,7.764148e-04,1.533077e-03,7.407337e-04,1.520040e-03,7.484645e-04,1.524614e-03,7.557916e-04,1.490187e-03,8.485309e-04,1.625183e-03,7.476830e-04,1.426169e-03,7.672687e-04,1.550827e-03,7.832153e-04,1.520817e-03
South Korea,2.451898e-01,2.665354e-01,2.214287e-01,2.347744e-01,2.123276e-01,2.240183e-01,2.592400e-01,2.819462e-01,2.771399e-01,2.958952e-01,1.533307e-01,1.653522e-01,1.430385e-01,1.509546e-01,3.908138e-01,4.120543e-01,3.529098e-01,3.699867e-01,3.360919e-01,3.476919e-01,4.027564e-01,4.248438e-01,4.323271e-01,4.510754e-01,2.493562e-01,2.628430e-01,2.296584e-01,2.376389e-01
Japan,3.171990e+00,3.178787e+00,3.171189e+00,3.177848e+00,3.170372e+00,3.176608e+00,2.961246e+00,2.967988e+00,2.828552e+00,2.834555e+00,3.149379e+00,3.156329e+00,3.147836e+00,3.154145e+00,3.173248e+00,3.179854e+00,3.172083e+00,3.178629e+00,3.170916e+00,3.177017e+00,2.962396e+00,2.968953e+00,2.829779e+00,2.835650e+00,3.150583e+00,3.157269e+00,3.148257e+00,3.154426e+00
Singapore,6.130882e+00,6.387990e+00,6.008372e+00,6.264507e+00,5.929823e+00,6.176304e+00,5.795702e+00,6.054344e+00,4.969181e+00,5.217629e+00,5.548660e+00,5.805017e+00,5.348264e+00,5.594158e+00,6.142586e+00,6.395984e+00,6.018053e+00,6.272104e+00,5.936572e+00,6.180643e+00,5.806131e+00,6.061106e+00,4.980192e+00,5.226513e+00,5.559779e+00,5.812176e+00,5.354282e+00,5.597725e+00
Hong Kong,1.303261e+00,1.380645e+00,1.251164e+00,1.329966e+00,1.202800e+00,1.276805e+00,7.705097e-01,8.491478e-01,1.297371e+00,1.368434e+00,1.266542e+00,1.343074e+00,1.166633e+00,1.239430e+00,1.305178e+00,1.381408e+00,1.252846e+00,1.331007e+00,1.204193e+00,1.277738e+00,7.720366e-01,8.496225e-01,1.299196e+00,1.369613e+00,1.268806e+00,1.343853e+00,1.168083e+00,1.240313e+00
Taiwan,5.090881e-01,5.205579e-01,5.102882e-01,5.214667e-01,5.114489e-01,5.213125e-01,4.336494e-01,4.455658e-01,5.045130e-01,5.139336e-01,4.373621e-01,4.491642e-01,4.399887e-01,4.499255e-01,5.116677e-01,5.226934e-01,5.115592e-01,5.224742e-01,5.114392e-01,5.210124e-01,4.362020e-01,4.480943e-01,5.070486e-01,5.161855e-01,4.398901e-01,4.509932e-01,4.396786e-01,4.493164e-01
Rest of East Asia,1.206070e+00,2.147025e+00,1.132437e+00,2.053496e+00,1.069294e+00,2.034034e+00,1.231665e+00,2.166780e+00,1.180623e+00,2.015891e+00,1.200868e+00,2.154014e+00,1.073662e+00,2.040664e+00,1.079593e+00,2.002721e+00,1.050562e+00,2.003038e+00,1.032893e+00,1.992046e+00,1.104414e+00,2.023535e+00,1.071224e+00,1.897181e+00,1.082238e+00,2.004697e+00,1.036457e+00,1.995428e+00
Thailand,2.483362e+00,2.503965e+00,2.503056e+00,2.523543e+00,2.522691e+00,2.541292e+00,2.312902e+00,2.343487e+00,2.030056e+00,2.036998e+00,2.461194e+00,2.482259e+00,2.500784e+00,2.519604e+00,2.485121e+00,2.504947e+00,2.504679e+00,2.524701e+00,2.524227e+00,2.542308e+00,2.316046e+00,2.346857e+00,2.031724e+00,2.038364e+00,2.462924e+00,2.482971e+00,2.502050e+00,2.520345e+00
Indonesia,8.200000e+00,8.300000e+00,7.969112e+00,8.066982e+00,7.800000e+00,7.882408e+00,8.100000e+00,8.200000e+00,5.708383e+00,5.771659e+00,8.200000e+00,8.300000e+00,7.794526e+00,7.870508e+00,8.200000e+00,8.300000e+00,7.970769e+00,8.063389e+00,7.800000e+00,7.878614e+00,8.100000e+00,8.196135e+00,5.710747e+00,5.769277e+00,8.200000e+00,8.300000e+00,7.795068e+00,7.866515e+00
Malaysia,5.583811e+00,5.613904e+00,5.337704e+00,5.362963e+00,5.299410e+00,5.318657e+00,5.344929e+00,5.374641e+00,3.834898e+00,3.860720e+00,5.412955e+00,5.443220e+00,5.119869e+00,5.139011e+00,5.588666e+00,5.617642e+00,5.340078e+00,5.364679e+00,5.300497e+00,5.319052e+00,5.349102e+00,5.377747e+00,3.839658e+00,3.864723e+00,5.418039e+00,5.446812e+00,5.120832e+00,5.139305e+00
