SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
China (Mainland),1.932015e-04,4.050368e-04,1.955228e-04,4.037322e-04,1.972382e-04,3.953663e-04,2.221345e-04,4.332225e-04,1.950855e-04,3.784379e-04,1.973614e-04,4.129620e-04,2.042158e-04,4.032361e-04,1.948308e-04,3.998070e-04,1.968642e-04,4.010103e-04,1.987914e-04,3.919551e-04,2.231840e-04,4.274622e-04,1.966586e-04,3.751168e-04,2.018101e-04,4.079048e-04,2.060045e-04,4.000114e-04
South Korea,2.387020e-03,2.594827e-03,2.155695e-03,2.285622e-03,2.067093e-03,2.180907e-03,2.523803e-03,2.744858e-03,2.698066e-03,2.880656e-03,1.492735e-03,1.609769e-03,1.392537e-03,1.469602e-03,3.804726e-03,4.011511e-03,3.435716e-03,3.601967e-03,3.271987e-03,3.384917e-03,3.920992e-03,4.136022e-03,4.208875e-03,4.391397e-03,2.427581e-03,2.558881e-03,2.235815e-03,2.313508e-03
Japan,4.756265e-02,4.766457e-02,4.755065e-02,4.765050e-02,4.753840e-02,4.763190e-02,4.440264e-02,4.450373e-02,4.241294e-02,4.250295e-02,4.722361e-02,4.732782e-02,4.720047e-02,4.729507e-02,4.758151e-02,4.768057e-02,4.756405e-02,4.766219e-02,4.754655e-02,4.763802e-02,4.441988e-02,4.451820e-02,4.243135e-02,4.251938e-02,4.724167e-02,4.734191e-02,4.720678e-02,4.729929e-02
Singapore,2.124744e-02,2.213848e-02,2.082286e-02,2.171054e-02,2.055064e-02,2.140486e-02,2.008583e-02,2.098219e-02,1.722140e-02,1.808243e-02,1.922967e-02,2.011811e-02,1.853517e-02,1.938735e-02,2.128800e-02,2.216619e-02,2.085642e-02,2.173687e-02,2.057403e-02,2.141989e-02,2.012197e-02,2.100562e-02,1.725956e-02,1.811322e-02,1.926820e-02,2.014292e-02,1.855602e-02,1.939971e-02
Hong Kong,8.726437e-03,9.244588e-03,8.377600e-03,8.905247e-03,8.053764e-03,8.549290e-03,5.159214e-03,5.685763e-03,8.686995e-03,9.162825e-03,8.480572e-03,8.993019e-03,7.811593e-03,8.299035e-03,8.739274e-03,9.249694e-03,8.388867e-03,8.912216e-03,8.063093e-03,8.555541e-03,5.169439e-03,5.688942e-03,8.699216e-03,9.170715e-03,8.495729e-03,8.998232e-03,7.821303e-03,8.304943e-03
Taiwan,4.862129e-03,4.971674e-03,4.873591e-03,4.980353e-03,4.884676e-03,4.978881e-03,4.141640e-03,4.255449e-03,4.818434e-03,4.908407e-03,4.177098e-03,4.289816e-03,4.202184e-03,4.297087e-03,4.886767e-03,4.992069e-03,4.885730e-03,4.989975e-03,4.884584e-03,4.976015e-03,4.166019e-03,4.279598e-03,4.842650e-03,4.929914e-03,4.201243e-03,4.307285e-03,4.199222e-03,4.291270e-03
Rest of East Asia,3.883650e-03,6.913611e-03,3.646547e-03,6.612437e-03,3.443222e-03,6.549768e-03,3.966070e-03,6.977222e-03,3.801709e-03,6.491348e-03,3.866902e-03,6.936114e-03,3.457286e-03,6.571119e-03,3.476385e-03,6.448939e-03,3.382902e-03,6.449958e-03,3.326006e-03,6.414565e-03,3.556312e-03,6.515962e-03,3.449436e-03,6.109089e-03,3.484900e-03,6.455301e-03,3.337483e-03,6.425453e-03
Thailand,1.826774e-02,1.841930e-02,1.841261e-02,1.856331e-02,1.855705e-02,1.869387e-02,1.701382e-02,1.723881e-02,1.493320e-02,1.498426e-02,1.810467e-02,1.825963e-02,1.839590e-02,1.853434e-02,1.828068e-02,1.842652e-02,1.842455e-02,1.857184e-02,1.856834e-02,1.870135e-02,1.703696e-02,1.726360e-02,1.494546e-02,1.499431e-02,1.811740e-02,1.826486e-02,1.840521e-02,1.853979e-02
Indonesia,1.497880e-01,1.516400e-01,1.448809e-01,1.466602e-01,1.419531e-01,1.433046e-01,1.473387e-01,1.491249e-01,1.037802e-01,1.049305e-01,1.494683e-01,1.514753e-01,1.417069e-01,1.430883e-01,1.498324e-01,1.515262e-01,1.449110e-01,1.465949e-01,1.419661e-01,1.432356e-01,1.473748e-01,1.490083e-01,1.038231e-01,1.048872e-01,1.496236e-01,1.513578e-01,1.417168e-01,1.430157e-01
Malaysia,3.108716e-02,3.125470e-02,2.971699e-02,2.985762e-02,2.950379e-02,2.961095e-02,2.975721e-02,2.992263e-02,2.135031e-02,2.149407e-02,3.013594e-02,3.030444e-02,2.850422e-02,2.861079e-02,3.111419e-02,3.127551e-02,2.973021e-02,2.986717e-02,2.950985e-02,2.961315e-02,2.978045e-02,2.993993e-02,2.137681e-02,2.151635e-02,3.016424e-02,3.032443e-02,2.850958e-02,2.861243e-02
