,Sum of direct losses,Sum of total losses,China export losses,Japan export losses,US export losses,Russia export losses,Global consumption possibilities have reduced by,GHGs (inxcluding private car) have reduced by,PM2.5 (including private car) has reduced by,Air pollutant SO2 (including private car) has reduced by,Air pollutant NOx (including private car) has reduced by,GHGs from Private car have reduced by,PM2.5 from Private car has reduced by,Air pollutant SO2 from Private car has reduced by,Air pollutant NOx from Private car has reduced by
Results 1, 2.662 US$tn., 3.6047 US$tn. or 4.2062% on an annual basis, -0.02339 US$tn., -0.0072396 US$tn., -0.039279 US$tn., -0.0074976 US$tn., 1.6449trillion or 1.8065% on an annual basis, 1268.7612Mt CO2eq or 2.3068% ; World total is 55000Mt CO2eq;, 0.19963Mt or 1.4147%, 0.89919Mt or 1.0393%, 3.4399Mt or 3.7014%, 67.026Mt CO2eq or 0.12187% ; World total is 55000Mt CO2eq;, 0.013232Mt or 0.093771%, 0.012816Mt or 0.014813%, 0.14429Mt or 0.15526%
Results 2, 2.2464 US$tn., 3.0739 US$tn. or 3.5868% on an annual basis, -0.020729 US$tn., -0.0065411 US$tn., -0.036437 US$tn., -0.0071195 US$tn., 1.3895trillion or 1.526% on an annual basis, 1104.6485Mt CO2eq or 2.0085% ; World total is 55000Mt CO2eq;, 0.18822Mt or 1.3338%, 0.82992Mt or 0.95921%, 3.3598Mt or 3.6152%, 56.5158Mt CO2eq or 0.10276% ; World total is 55000Mt CO2eq;, 0.01141Mt or 0.080855%, 0.011365Mt or 0.013135%, 0.12216Mt or 0.13145%
Results 3, 2.4187 US$tn., 3.2073 US$tn. or 3.7424% on an annual basis, -0.018882 US$tn., -0.0061621 US$tn., -0.031836 US$tn., -0.0067159 US$tn., 1.4773trillion or 1.6224% on an annual basis, 1101.3269Mt CO2eq or 2.0024% ; World total is 55000Mt CO2eq;, 0.18067Mt or 1.2803%, 0.77174Mt or 0.89197%, 3.2802Mt or 3.5296%, 59.6997Mt CO2eq or 0.10854% ; World total is 55000Mt CO2eq;, 0.011306Mt or 0.080119%, 0.010644Mt or 0.012302%, 0.12607Mt or 0.13566%
Results 4, 1.7659 US$tn., 2.3977 US$tn. or 2.7978% on an annual basis, -0.015025 US$tn., -0.0050868 US$tn., -0.027676 US$tn., -0.0060911 US$tn., 1.0745trillion or 1.18% on an annual basis, 920.2985Mt CO2eq or 1.6733% ; World total is 55000Mt CO2eq;, 0.16596Mt or 1.1761%, 0.68276Mt or 0.78912%, 3.1756Mt or 3.417%, 43.7777Mt CO2eq or 0.079596% ; World total is 55000Mt CO2eq;, 0.0085565Mt or 0.060635%, 0.0085041Mt or 0.009829%, 0.093483Mt or 0.10059%
Results 5, 1.864 US$tn., 2.466 US$tn. or 2.8774% on an annual basis, -0.013176 US$tn., -0.0047758 US$tn., -0.024084 US$tn., -0.0058064 US$tn., 1.1394trillion or 1.2513% on an annual basis, 808.4886Mt CO2eq or 1.47% ; World total is 55000Mt CO2eq;, 0.15637Mt or 1.1081%, 0.62162Mt or 0.71846%, 3.0871Mt or 3.3218%, 45.6247Mt CO2eq or 0.082954% ; World total is 55000Mt CO2eq;, 0.0083871Mt or 0.059434%, 0.0080225Mt or 0.0092723%, 0.094312Mt or 0.10148%
Results 6, 1.864 US$tn., 2.466 US$tn. or 2.8775% on an annual basis, -0.013176 US$tn., -0.004776 US$tn., -0.024084 US$tn., -0.0058066 US$tn., 1.1394trillion or 1.2514% on an annual basis, 808.4947Mt CO2eq or 1.47% ; World total is 55000Mt CO2eq;, 0.15637Mt or 1.1081%, 0.62163Mt or 0.71847%, 3.0871Mt or 3.3218%, 45.6256Mt CO2eq or 0.082956% ; World total is 55000Mt CO2eq;, 0.0083872Mt or 0.059436%, 0.0080227Mt or 0.0092725%, 0.094314Mt or 0.10148%
Results 7, 0.90473 US$tn., 1.3358 US$tn. or 1.5587% on an annual basis, -0.0074242 US$tn., -0.0031469 US$tn., -0.018092 US$tn., -0.0059537 US$tn., 0.55124trillion or 0.60539% on an annual basis, 1019.2596Mt CO2eq or 1.8532% ; World total is 55000Mt CO2eq;, 0.23872Mt or 1.6917%, 2.1669Mt or 2.5044%, 3.8544Mt or 4.1474%, 21.9131Mt CO2eq or 0.039842% ; World total is 55000Mt CO2eq;, 0.0038551Mt or 0.027319%, 0.0039268Mt or 0.0045386%, 0.043712Mt or 0.047035%
Results 8, 0.83504 US$tn., 1.2379 US$tn. or 1.4444% on an annual basis, -0.0070172 US$tn., -0.0030379 US$tn., -0.017435 US$tn., -0.0053372 US$tn., 0.51217trillion or 0.56248% on an annual basis, 793.1528Mt CO2eq or 1.4421% ; World total is 55000Mt CO2eq;, 0.18528Mt or 1.313%, 1.2876Mt or 1.4882%, 3.3732Mt or 3.6296%, 20.4747Mt CO2eq or 0.037227% ; World total is 55000Mt CO2eq;, 0.0036711Mt or 0.026015%, 0.0038017Mt or 0.0043939%, 0.041192Mt or 0.044324%
Results 9, 0.76534 US$tn., 1.1475 US$tn. or 1.3389% on an annual basis, -0.0066728 US$tn., -0.0029433 US$tn., -0.01684 US$tn., -0.0047772 US$tn., 0.4766trillion or 0.52342% on an annual basis, 583.773Mt CO2eq or 1.0614% ; World total is 55000Mt CO2eq;, 0.13359Mt or 0.9467%, 0.47267Mt or 0.5463%, 2.9302Mt or 3.1529%, 19.1863Mt CO2eq or 0.034884% ; World total is 55000Mt CO2eq;, 0.003511Mt or 0.02488%, 0.00371Mt or 0.004288%, 0.038967Mt or 0.041929%
Results 10, 0.12747 US$tn., 1.6212 US$tn. or 1.8917% on an annual basis, -0.010666 US$tn., -0.0043928 US$tn., -0.021613 US$tn., -0.005299 US$tn., 0.7333trillion or 0.80533% on an annual basis, 635.402Mt CO2eq or 1.1553% ; World total is 55000Mt CO2eq;, 0.14436Mt or 1.023%, 0.54502Mt or 0.62993%, 3.0402Mt or 3.2713%, 30.632Mt CO2eq or 0.055694% ; World total is 55000Mt CO2eq;, 0.0060482Mt or 0.04286%, 0.0054962Mt or 0.0063524%, 0.066625Mt or 0.07169%
